"","abundance_assay1","abundance_assay2","abundance_assay3","abundance_assay4","abundance_assay5","abundance_assay6","abundance_assay7","abundance_assay8","abundance_assay9","abundance_assay10","abundance_assay11","abundance_assay12","abundance_assay13","abundance_assay14","abundance_assay15"
"Label","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3"
"P-PE 34:1_1",NA,NA,NA,"183397.9423828125","174770.56591796875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P-PE P-16:0/18:1_2","337992.638671875","249876.248046875","214545.2861328125",NA,NA,"725434.6875","694843.9140625","601327.3046875","521886.1201171875","502855.859375","985550.3984375","855197.876953125","896437.3359375","775334.6171875","812706.890625"
"P-PE 34:2_3","227276.85546875","187918.09765625","166895.759765625","117191.71875","155804.5","658289.703125","582120.375","481439.125","447727.4296875","345142.6015625","1050091.65625",NA,NA,"1033752.109375",NA
"P-PE P-16:0/18:2_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1143539.90625","963364.90625",NA,"904316.4375"
"P-PE 36:1_5",NA,NA,NA,NA,NA,NA,"153089.0546875",NA,NA,NA,NA,"152297.078125",NA,"195443.796875",NA
"P-PE 36:1_6","68863.3681640625","69781.876953125","41761.59814453125","45701.33203125",NA,"135816.0029296875","184305.380859375","69147.9482421875","95877.6796875","99589.921875",NA,NA,NA,"218459.09375","162091.33984375"
"P-PE P-18:0/18:1_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"218720.265625","280424.376953125","164745.86328125",NA,NA
"P-PE 36:2_8","306513.484375",NA,"224696.6875",NA,"229447.1875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P-PE P-18:0/18:2_9",NA,"187188.70133260966",NA,"190096.046875",NA,"662718.015625","456714.38487133855","420567.498638161","425612.70528585464","450678.5","1128870.90625","1107704.40625","846903.415984937","904680.828125","623906.0180199553"
"P-PE P-18:1/18:1_10",NA,"62261.47835489033",NA,NA,NA,NA,"175589.2870036615","137148.20448683898","123653.37283914533",NA,NA,NA,"245201.61526506298",NA,"261209.9507300447"
"P-PE 36:3_11","62082.9736328125","85476.76171875","68932.6748046875","79255.8017578125","36645.3623046875",NA,NA,"226092.25",NA,NA,NA,"405923.3515625","312267.13671875",NA,NA
"P-PE P-16:0/20:3_12",NA,NA,NA,NA,NA,NA,"657048.03125",NA,"500289.6484375","188751.4140625","965191.0625",NA,NA,"1435712.6875","1199524.125"
"P-PE 36:3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149479.5703125","88095.52734375","98355.130859375","71961.5029296875","86289.71484375"
"P-PE P-16:0/20:4_14","1.5449462E7","1.320356265625E7","1.237498053125E7","1.166342715625E7","1.1102708875E7","2.7442463E7","2.5405859125E7","2.300810075E7","2.01920790625E7","1.88496098125E7","2.8663769875E7","2.6788031375E7","2.59248655E7","2.3614014125E7","2.28937005625E7"
"P-PE 36:5_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56616.927734375",NA,NA,NA,"51384.56591796875"
"P-PE 37:4_16","317782.76953125","302455.0625","271920.6015625","245957.3515625","210900.70703125","441728.2109375","423310.046875","347446.8515625","376737.0","354466.4375","491021.578125","429643.078125","452718.09375","393740.2578125","374966.1953125"
"P-PE 38:2_17",NA,NA,NA,NA,NA,"52392.8232421875",NA,NA,NA,NA,"100673.16015625","103443.5546875","74890.6611328125","50017.537109375","53323.23828125"
"P-PE 38:3_18",NA,NA,NA,NA,NA,NA,NA,"242525.2109375","176100.89453125",NA,NA,NA,NA,NA,"67777.619140625"
