Sample,Acidobacteria_Gp1,Acidobacteria_Gp10,Acidobacteria_Gp14,Acidobacteria_Gp16,Acidobacteria_Gp17,Acidobacteria_Gp18,Acidobacteria_Gp21,Acidobacteria_Gp22,Acidobacteria_Gp3,Acidobacteria_Gp4,Acidobacteria_Gp5,Acidobacteria_Gp6,Acidobacteria_Gp7,Acidobacteria_Gp9,Actinobacteria,Alphaproteobacteria,Anaerolineae,Bacilli,Bacteroidia,Betaproteobacteria,Caldilineae,Chlamydiae,Chloroflexi,Chrysiogenetes,Clostridia,Cyanobacteria,Dehalococcoidetes,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichi,Fibrobacteria,Flavobacteria,Fusobacteria,Gammaproteobacteria,Gemmatimonadetes,Holophagae,Lentisphaeria,Methanobacteria,Methanomicrobia,Mollicutes,Nitrospira,Opitutae,Planctomycetacia,Sphingobacteria,Spirochaetes,Subdivision3,Synergistia,Thermomicrobia,Thermoplasmata,Thermotogae,Unknown
T_2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,11,2,19,1547,2,0,0,0,0,6213,0,0,0,0,0,433,0,1,0,23,0,0,0,0,0,3,0,0,0,2,62,0,21,0,0,0,759
T_2_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,60,8,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24
T_2_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,36,0,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
T_2_2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,240,21,15,32,718,7,0,0,0,0,8999,0,0,0,6,0,495,2,15,0,17,0,0,0,1,0,11,0,0,0,4,72,0,84,3,0,0,1342
T_2_3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,414,11,31,33,679,61,0,0,0,0,10944,0,0,0,3,0,643,4,7,0,25,0,0,0,0,0,1,0,0,0,4,266,0,110,3,0,0,1555
T_2_6,0,0,0,0,0,5,0,0,0,1,0,1,0,0,227,49,159,11,143,4,1,0,0,0,12169,0,2,3,59,0,629,0,3,1,4,0,0,1,0,0,3,0,0,2,1,43,0,333,3,0,1,1832
T_2_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
T_2_9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,811,71,376,41,924,5,7,0,0,0,17471,0,0,2,158,0,933,3,6,2,37,1,0,1,0,0,4,0,0,8,1,175,0,658,2,0,1,3240
T_3_2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,89,13,8,23,314,4,0,0,0,0,3431,0,1,1,17,0,193,1,1,0,20,0,0,0,0,0,1,0,0,0,1,19,0,125,1,0,0,676
T_3_3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,11,5,11,138,1,0,0,0,0,1277,0,0,0,6,0,66,1,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,70,0,0,0,306
T_3_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,43,22,0,0,0,0,0,277,0,0,0,1,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,69
T_4_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,112,0,3,1,7710,0,0,0,0,7,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
T_4_4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,573,65,38,60,116,518,2,0,0,0,10545,2,0,7,38,0,127,0,15,0,37,0,1,0,0,0,6,0,1,2,1,8,0,404,16,0,0,826
T_4_5,1,0,1,0,0,0,0,0,32,0,0,0,0,0,1345,138,44,109,156,485,5,0,1,0,3612,0,1,28,83,0,65,0,16,0,68,1,0,0,0,0,8,0,0,0,10,7,0,297,42,0,0,676
T_4_6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,444,42,16,55,49,2048,2,0,0,0,1306,0,0,15,24,0,25,0,8,0,39,2,0,0,0,0,1,0,0,0,1,2,1,95,13,0,0,200
T_4_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,4,8,13,2,0,0,0,0,198,0,0,3,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,22,1,0,0,44
T_5_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,10,11,78,964,444,0,0,0,0,5985,0,0,0,3,0,285,12,2,1,75,0,0,0,0,1,11,0,0,1,1,114,0,218,1,1,0,1871
T_5_3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,139,10,17,100,1377,498,0,0,0,0,8981,0,0,0,8,0,432,24,7,2,47,0,0,0,0,0,21,0,0,0,3,137,0,324,1,0,0,3214
T_5_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,70,11,0,0,0,0,763,0,0,0,0,0,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,11,0,20,1,0,0,131
T_5_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,36,41,18,0,0,0,0,311,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,94
T_6_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13
T_6_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,30,3,6,0,0,0,0,496,0,0,1,2,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,47,0,0,0,128
T_6_7,0,0,0,0,0,1,0,0,1,1,0,0,0,0,160,21,7,13,274,99,2,0,0,0,3841,0,0,24,6,0,97,2,2,0,27,0,0,0,0,1,2,0,0,0,1,32,0,80,0,0,0,602
