fra.ge,ger.ge,geu.ge,hyp.ge,ver.ge,gal.fo,hep.fo,oxa.fo,par.fo,vio.fo,control.hep,
Tax15,0,0,0,0,0,0,0,0,0,7,0
Tax26,0,0,0,0,0,0,20,0,0,63,0
Tax30,0,0,0,0,0,0,0,2,0,4,0
Tax33,0,0,0,0,0,0,0,0,3,6,0
Tax34,0,0,0,0,0,0,0,0,10,55,0
Tax37,0,0,0,0,0,1,0,64,0,22,0
Tax230,0,0,0,0,0,0,2,0,0,0,0
Tax64,0,0,0,22,0,62,278,49,107,83,204
Tax72,1,0,39,0,0,0,38,0,0,534,408
Tax74,76,0,0,0,235,55,168,368,0,179,149
Tax105,1,0,0,1,,1,1,53,1,1,1
Tax108,96,4,14,209,8,67,34,169,17,75,14
Tax113,5848,975,2733,10656,2269,2144,2958,9602,3696,4649,2010
Tax114,5,201,5,24,3,7,7,26,268,9,20
Tax115,2720,229,915,3674,190,1984,902,3539,652,2091,860
Tax125,0,0,18,0,0,0,108,58,0,14,0
Tax129,73,0,0,0,0,0,49,0,300,0,5
Tax135,0,0,0,0,0,0,0,0,0,37,40
Tax140,0,0,84,0,0,0,0,0,0,0,195
Tax141,0,0,0,0,0,0,0,0,0,1,48
Tax143,0,71,0,0,1,0,62,0,0,59,779
Tax145,0,0,0,0,0,0,60,0,0,30,1135
Tax160,66,0,0,197,0,0,144,77,459,281,1215
Tax162,0,151,0,0,261,99,37,762,2862,8,0
Tax163,344,480,0,0,412,459,13,1445,5899,17,22
Tax166,365,329,298,306,255,2224,713,1963,1874,2072,650
Tax186,0,0,0,49,0,0,5,179,551,0,0
Tax187,0,0,0,0,0,133,60,117,0,134,57
Tax191,691,47,0,56,1144,0,2165,604,1,2226,1157
Tax194,0,0,0,0,0,0,2,1,0,1,117
Tax196,3,0,0,0,9,5,12,41,132,17,47
Tax198,15,0,61,2,0,427,809,71,168,83,1516
Tax199,396,0,2,194,0,66,4497,714,257,836,3742
Tax200,0,0,0,0,0,0,2,25,0,0,5
Tax212,0,0,0,0,0,0,22,35,0,157,0
Tax214,0,0,0,0,0,0,0,0,0,0,32
Tax219,115,0,0,263,111,0,341,139,0,481,607
Tax222,0,0,0,0,0,0,22,10,0,6,0
Tax234,0,0,0,0,0,0,1,0,0,0,1
Tax56,0,0,0,0,0,0,3,5,1,0,1
Tax57,0,3,0,2,15,45,16,53,36,15,24
Tax193,0,0,0,0,3,27,12,17,17,9,6
Tax60,0,0,0,0,0,64,0,35,5,0,2
Tax61,0,0,0,0,0,0,0,0,0,9,0
Tax62,9,0,0,0,0,117,42,0,23,77,5
Tax236,0,0,0,0,0,0,0,0,10,0,0
Tax49,0,0,0,0,0,0,0,0,0,11,0
Tax52,0,0,0,0,0,0,0,0,0,3,0
