"A1","Moisture","Management","Use","Manure"
2.8,"I","SF","Haypastu","IV"
3.5,"I","BF","Haypastu","II"
4.3,"II","SF","Haypastu","IV"
4.2,"II","SF","Haypastu","IV"
6.3,"I","HF","Hayfield","II"
4.3,"I","HF","Haypastu","II"
2.8,"I","HF","Pasture","III"
4.2,"V","HF","Pasture","III"
3.7,"IV","HF","Hayfield","I"
3.3,"II","BF","Hayfield","I"
3.5,"I","BF","Pasture","I"
5.8,"IV","SF","Haypastu","II"
6,"V","SF","Haypastu","III"
9.3,"V","NM","Pasture","NA"
11.5,"V","NM","Haypastu","NA"
5.7,"V","SF","Pasture","III"
4,"II","NM","Hayfield","NA"
4.6,"I","NM","Hayfield","NA"
3.7,"V","NM","Hayfield","NA"
3.5,"V","NM","Hayfield","NA"
