Sample,Species
1,Setosa
2,Setosa
3,Setosa
4,Setosa
5,Setosa
6,Setosa
7,Setosa
8,Setosa
9,Setosa
10,Setosa
11,Setosa
12,Setosa
13,Setosa
14,Setosa
15,Setosa
16,Setosa
17,Setosa
18,Setosa
19,Setosa
20,Setosa
21,Setosa
22,Setosa
23,Setosa
24,Setosa
25,Setosa
26,Setosa
27,Setosa
28,Setosa
29,Setosa
30,Setosa
31,Setosa
32,Setosa
33,Setosa
34,Setosa
35,Setosa
36,Setosa
37,Setosa
38,Setosa
39,Setosa
40,Setosa
41,Setosa
42,Setosa
43,Setosa
44,Setosa
45,Setosa
46,Setosa
47,Setosa
48,Setosa
49,Setosa
50,Setosa
51,Versicolor
52,Versicolor
53,Versicolor
54,Versicolor
55,Versicolor
56,Versicolor
57,Versicolor
58,Versicolor
59,Versicolor
60,Versicolor
61,Versicolor
62,Versicolor
63,Versicolor
64,Versicolor
65,Versicolor
66,Versicolor
67,Versicolor
68,Versicolor
69,Versicolor
70,Versicolor
71,Versicolor
72,Versicolor
73,Versicolor
74,Versicolor
75,Versicolor
76,Versicolor
77,Versicolor
78,Versicolor
79,Versicolor
80,Versicolor
81,Versicolor
82,Versicolor
83,Versicolor
84,Versicolor
85,Versicolor
86,Versicolor
87,Versicolor
88,Versicolor
89,Versicolor
90,Versicolor
91,Versicolor
92,Versicolor
93,Versicolor
94,Versicolor
95,Versicolor
96,Versicolor
97,Versicolor
98,Versicolor
99,Versicolor
100,Versicolor
101,Virginica
102,Virginica
103,Virginica
104,Virginica
105,Virginica
106,Virginica
107,Virginica
108,Virginica
109,Virginica
110,Virginica
111,Virginica
112,Virginica
113,Virginica
114,Virginica
115,Virginica
116,Virginica
117,Virginica
118,Virginica
119,Virginica
120,Virginica
121,Virginica
122,Virginica
123,Virginica
124,Virginica
125,Virginica
126,Virginica
127,Virginica
128,Virginica
129,Virginica
130,Virginica
131,Virginica
132,Virginica
133,Virginica
134,Virginica
135,Virginica
136,Virginica
137,Virginica
138,Virginica
139,Virginica
140,Virginica
141,Virginica
142,Virginica
143,Virginica
144,Virginica
145,Virginica
146,Virginica
147,Virginica
148,Virginica
149,Virginica
150,Virginica
