gene_id,symbol,name,kegg
1,A1BG,alpha-1-B glycoprotein,NA
2,A2M,alpha-2-macroglobulin,4610
3,A2MP1,alpha-2-macroglobulin pseudogene 1,NA
9,NAT1,N-acetyltransferase 1 (arylamine N-acetyltransferase),00232; 00983; 01100
10,NAT2,N-acetyltransferase 2 (arylamine N-acetyltransferase),00232; 00983; 01100
11,AACP,arylamide acetylase pseudogene,NA
12,SERPINA3,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3",NA
13,AADAC,arylacetamide deacetylase (esterase),NA
14,AAMP,"angio-associated, migratory cell protein",NA
15,AANAT,aralkylamine N-acetyltransferase,00380; 01100
16,AARS,alanyl-tRNA synthetase,970
17,AAVS1,adeno-associated virus integration site 1,NA
18,ABAT,4-aminobutyrate aminotransferase,00250; 00280; 00410; 00640; 00650; 01100
19,ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1",02010; 04975
20,ABCA2,"ATP-binding cassette, sub-family A (ABC1), member 2",02010; 04142
21,ABCA3,"ATP-binding cassette, sub-family A (ABC1), member 3",2010
22,ABCB7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",2010
23,ABCF1,"ATP-binding cassette, sub-family F (GCN20), member 1",NA
24,ABCA4,"ATP-binding cassette, sub-family A (ABC1), member 4",2010
25,ABL1,"c-abl oncogene 1, non-receptor tyrosine kinase",04012; 04110; 04360; 04722; 05130; 05131; 05200; 05220; 05416
26,ABP1,amiloride binding protein 1 (amine oxidase (copper-containing)),00330; 00340; 00380
27,ABL2,v-abl Abelson murine leukemia viral oncogene homolog 2,04012; 05416
28,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",00601; 01100
29,ABR,active BCR-related,NA
30,ACAA1,acetyl-CoA acyltransferase 1,00071; 00280; 01040; 01100; 03320; 04146
31,ACACA,acetyl-CoA carboxylase alpha,00061; 00620; 00640; 01100; 04910
32,ACACB,acetyl-CoA carboxylase beta,00061; 00620; 00640; 01100; 04910; 04920
33,ACADL,"acyl-CoA dehydrogenase, long chain",00071; 01100; 03320
34,ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",00071; 00280; 00410; 00640; 01100; 03320
35,ACADS,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",00071; 00280; 00650; 01100
36,ACADSB,"acyl-CoA dehydrogenase, short/branched chain",00071; 00280; 01100
37,ACADVL,"acyl-CoA dehydrogenase, very long chain",00071; 01100
38,ACAT1,acetyl-CoA acetyltransferase 1,00071; 00072; 00280; 00310; 00380; 00620; 00630; 00640; 00650; 00900; 01100
39,ACAT2,acetyl-CoA acetyltransferase 2,00071; 00072; 00280; 00310; 00380; 00620; 00630; 00640; 00650; 00900; 01100; 04975
40,ASIC2,acid-sensing (proton-gated) ion channel 2,4742
41,ASIC1,acid-sensing (proton-gated) ion channel 1,NA
43,ACHE,acetylcholinesterase,564
46,ACLS,acrocallosal syndrome,NA
47,ACLY,ATP citrate lyase,00020; 01100
48,ACO1,"aconitase 1, soluble",00020; 00630; 01100
49,ACR,acrosin,NA
50,ACO2,"aconitase 2, mitochondrial",00020; 00630; 01100
51,ACOX1,"acyl-CoA oxidase 1, palmitoyl",00071; 00592; 01040; 01100; 03320; 04146
52,ACP1,"acid phosphatase 1, soluble",00740; 04520
53,ACP2,"acid phosphatase 2, lysosomal",00740; 04142
54,ACP5,"acid phosphatase 5, tartrate resistant",00740; 04142; 04380; 05323
55,ACPP,"acid phosphatase, prostate",740
56,ACRV1,acrosomal vesicle protein 1,NA
58,ACTA1,"actin, alpha 1, skeletal muscle",NA
59,ACTA2,"actin, alpha 2, smooth muscle, aorta",4270
60,ACTB,"actin, beta",04145; 04510; 04520; 04530; 04670; 04810; 04971; 05100; 05110; 05130; 05131; 05410; 05412; 05414; 05416
62,ACTBP2,"actin, beta pseudogene 2",NA
63,ACTBP3,"actin, beta pseudogene 3",NA
64,ACTBP4,"actin, beta pseudogene 4",NA
66,ACTBP6,"actin, beta pseudogene 6",NA
67,ACTBP7,"actin, beta pseudogene 7",NA
68,ACTBP8,"actin, beta pseudogene 8",NA
69,ACTBP9,"actin, beta pseudogene 9",NA
70,ACTC1,"actin, alpha, cardiac muscle 1",04260; 05410; 05414
71,ACTG1,"actin, gamma 1",04145; 04510; 04520; 04530; 04670; 04810; 05100; 05110; 05130; 05131; 05410; 05412; 05414; 05416
72,ACTG2,"actin, gamma 2, smooth muscle, enteric",4270
73,ACTG1P1,"actin, gamma 1 pseudogene 1",NA
74,ACTG1P2,"actin, gamma 1 pseudogene 2",NA
75,ACTG1P3,"actin, gamma 1 pseudogene 3",NA
76,ACTG1P4,"actin, gamma 1 pseudogene 4",NA
78,ACTG1P6,"actin, gamma 1 pseudogene 6",NA
79,ACTG1P7,"actin, gamma 1 pseudogene 7",NA
80,ACTG1P8,"actin, gamma 1 pseudogene 8",NA
81,ACTN4,"actinin, alpha 4",04510; 04520; 04530; 04670; 04810; 05146; 05322; 05412
82,ACTG1P9,"actin, gamma 1 pseudogene 9",NA
83,ACTG1P10,"actin, gamma 1 pseudogene 10",NA
84,ACTL4,actin-like 4,NA
86,ACTL6A,actin-like 6A,NA
87,ACTN1,"actinin, alpha 1",04510; 04520; 04530; 04670; 04810; 05146; 05322; 05412
88,ACTN2,"actinin, alpha 2",04510; 04520; 04530; 04670; 04810; 05146; 05322; 05412
89,ACTN3,"actinin, alpha 3",04510; 04520; 04530; 04670; 04810; 05146; 05322; 05412
90,ACVR1,"activin A receptor, type I",04060; 04350
91,ACVR1B,"activin A receptor, type IB",4060
92,ACVR2A,"activin A receptor, type IIA",04060; 04350
93,ACVR2B,"activin A receptor, type IIB",04060; 04350
94,ACVRL1,activin A receptor type II-like 1,NA
95,ACY1,aminoacylase 1,00330; 01100
97,ACYP1,"acylphosphatase 1, erythrocyte (common) type",620
98,ACYP2,"acylphosphatase 2, muscle type",620
100,ADA,adenosine deaminase,00230; 01100; 05340
101,ADAM8,ADAM metallopeptidase domain 8,NA
102,ADAM10,ADAM metallopeptidase domain 10,05010; 05120
103,ADAR,"adenosine deaminase, RNA-specific",4623
104,ADARB1,"adenosine deaminase, RNA-specific, B1",NA
105,ADARB2,"adenosine deaminase, RNA-specific, B2",NA
106,ADCP1,adenosine deaminase complexing protein 1,NA
107,ADCY1,adenylate cyclase 1 (brain),00230; 04020; 04062; 04114; 04270; 04540; 04720; 04912; 04914; 04916; 04970; 04971; 04972; 04976; 05142; 05146; 05414
108,ADCY2,adenylate cyclase 2 (brain),00230; 04020; 04062; 04114; 04270; 04540; 04912; 04914; 04916; 04970; 04971; 04972; 04976; 05414
109,ADCY3,adenylate cyclase 3,00230; 04020; 04062; 04114; 04270; 04540; 04740; 04912; 04914; 04916; 04962; 04970; 04971; 04972; 04976; 05110; 05414
111,ADCY5,adenylate cyclase 5,00230; 04062; 04114; 04270; 04540; 04912; 04914; 04916; 04970; 04971; 04972; 04976; 05414
112,ADCY6,adenylate cyclase 6,00230; 04062; 04114; 04270; 04540; 04742; 04912; 04914; 04916; 04962; 04970; 04971; 04972; 04976; 05414
113,ADCY7,adenylate cyclase 7,00230; 04020; 04062; 04114; 04270; 04540; 04912; 04914; 04916; 04970; 04971; 04972; 04976; 05414
114,ADCY8,adenylate cyclase 8 (brain),00230; 04020; 04062; 04114; 04270; 04540; 04720; 04742; 04912; 04914; 04916; 04970; 04971; 04972; 04976; 05414
115,ADCY9,adenylate cyclase 9,00230; 04020; 04062; 04114; 04270; 04540; 04912; 04914; 04916; 04962; 04970; 04971; 04972; 04976; 05110; 05414
116,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),NA
117,ADCYAP1R1,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I,4080
118,ADD1,adducin 1 (alpha),NA
119,ADD2,adducin 2 (beta),NA
120,ADD3,adducin 3 (gamma),NA
122,ADFN,albinism-deafness syndrome,NA
123,PLIN2,perilipin 2,NA
124,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",00010; 00071; 00350; 00830; 00980; 00982; 01100
125,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",00010; 00071; 00350; 00830; 00980; 00982; 01100
126,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",00010; 00071; 00350; 00830; 00980; 00982; 01100
127,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",00010; 00071; 00350; 00830; 00980; 00982; 01100
128,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",00010; 00071; 00350; 00830; 00980; 00982; 01100
130,ADH6,alcohol dehydrogenase 6 (class V),00010; 00071; 00350; 00830; 00980; 00982; 01100
131,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",00010; 00071; 00350; 00830; 00980; 00982; 01100
132,ADK,adenosine kinase,00230; 01100
133,ADM,adrenomedullin,NA
134,ADORA1,adenosine A1 receptor,4080
135,ADORA2A,adenosine A2a receptor,04020; 04080; 04270
136,ADORA2B,adenosine A2b receptor,04020; 04080; 04270
137,ADORA2BP1,adenosine A2b receptor pseudogene 1,NA
140,ADORA3,adenosine A3 receptor,4080
141,ADPRH,ADP-ribosylarginine hydrolase,NA
142,PARP1,poly (ADP-ribose) polymerase 1,3410
143,PARP4,"poly (ADP-ribose) polymerase family, member 4",3410
144,PARP1P1,"poly (ADP-ribose) polymerase family, member 1 pseudogene 1",NA
145,PARP1P2,"poly (ADP-ribose) polymerase family, member 1 pseudogene 2",NA
146,ADRA1D,"adrenergic, alpha-1D-, receptor",04020; 04080; 04270; 04970
147,ADRA1B,"adrenergic, alpha-1B-, receptor",04020; 04080; 04270; 04970
148,ADRA1A,"adrenergic, alpha-1A-, receptor",04020; 04080; 04270; 04970
150,ADRA2A,"adrenergic, alpha-2A-, receptor",4080
151,ADRA2B,"adrenergic, alpha-2B-, receptor",4080
152,ADRA2C,"adrenergic, alpha-2C-, receptor",4080
153,ADRB1,"adrenergic, beta-1-, receptor",04020; 04080; 04144; 04540; 04970; 05414
154,ADRB2,"adrenergic, beta-2-, receptor, surface",04020; 04080; 04144; 04970
155,ADRB3,"adrenergic, beta-3-, receptor",04020; 04080; 04144; 04970
156,ADRBK1,"adrenergic, beta, receptor kinase 1",04062; 04144
157,ADRBK2,"adrenergic, beta, receptor kinase 2",04062; 04144; 04740
158,ADSL,adenylosuccinate lyase,00230; 00250; 01100
159,ADSS,adenylosuccinate synthase,00230; 00250; 01100
160,AP2A1,"adaptor-related protein complex 2, alpha 1 subunit",04144; 05016
161,AP2A2,"adaptor-related protein complex 2, alpha 2 subunit",04144; 05016
162,AP1B1,"adaptor-related protein complex 1, beta 1 subunit",4142
163,AP2B1,"adaptor-related protein complex 2, beta 1 subunit",04144; 05016
164,AP1G1,"adaptor-related protein complex 1, gamma 1 subunit",4142
165,AEBP1,AE binding protein 1,NA
166,AES,amino-terminal enhancer of split,NA
167,CRISP1,cysteine-rich secretory protein 1,NA
169,AF8T,AF8 temperature sensitivity complementing,NA
170,AFA,ankyloblepharon filiforme adnatum,NA
171,AFD1,"acrofacial dysostosis 1, Nager type",NA
172,AFG3L1P,"AFG3 ATPase family gene 3-like 1 (S. cerevisiae), pseudogene",NA
173,AFM,afamin,NA
174,AFP,alpha-fetoprotein,NA
175,AGA,aspartylglucosaminidase,00511; 04142
176,ACAN,aggrecan,NA
177,AGER,advanced glycosylation end product-specific receptor,NA
178,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",00500; 01100
179,AGMX2,"agammaglobulinemia, X-linked 2 (with growth hormone deficiency)",NA
181,AGRP,agouti related protein homolog (mouse),4920
182,JAG1,jagged 1,4330
183,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",4614
185,AGTR1,"angiotensin II receptor, type 1",04020; 04080; 04270; 04614
186,AGTR2,"angiotensin II receptor, type 2",04080; 04614
187,APLNR,apelin receptor,4080
189,AGXT,alanine-glyoxylate aminotransferase,00250; 00260; 01100; 04146
190,NR0B1,"nuclear receptor subfamily 0, group B, member 1",NA
191,AHCY,adenosylhomocysteinase,00270; 01100
192,AIC,Aicardi syndrome,NA
196,AHR,aryl hydrocarbon receptor,NA
197,AHSG,alpha-2-HS-glycoprotein,NA
199,AIF1,allograft inflammatory factor 1,NA
201,AIH3,"amelogenesis imperfecta 3, hypomaturation or hypoplastic type",NA
202,AIM1,absent in melanoma 1,NA
203,AK1,adenylate kinase 1,00230; 01100
204,AK2,adenylate kinase 2,00230; 01100
205,AK4,adenylate kinase 4,00230; 01100
206,AK4P1,adenylate kinase 4 pseudogene 1,NA
207,AKT1,v-akt murine thymoma viral oncogene homolog 1,04010; 04012; 04062; 04150; 04210; 04370; 04380; 04510; 04530; 04620; 04630; 04660; 04662; 04664; 04666; 04722; 04910; 04914; 04920; 04973; 05142; 05145; 05160; 05200; 05210; 05211; 05212; 05213; 05214; 05215; 05218; 05220; 05221; 05222; 05223
208,AKT2,v-akt murine thymoma viral oncogene homolog 2,04010; 04012; 04062; 04150; 04210; 04370; 04380; 04510; 04530; 04620; 04630; 04660; 04662; 04664; 04666; 04722; 04910; 04914; 04920; 04973; 05142; 05145; 05160; 05200; 05210; 05211; 05212; 05213; 05214; 05215; 05218; 05220; 05221; 05222; 05223
210,ALAD,aminolevulinate dehydratase,00860; 01100
211,ALAS1,"aminolevulinate, delta-, synthase 1",00260; 00860; 01100
212,ALAS2,"aminolevulinate, delta-, synthase 2",00260; 00860; 01100
213,ALB,albumin,NA
214,ALCAM,activated leukocyte cell adhesion molecule,4514
215,ABCD1,"ATP-binding cassette, sub-family D (ALD), member 1",02010; 04146
216,ALDH1A1,"aldehyde dehydrogenase 1 family, member A1",00830; 01100
217,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),00010; 00040; 00053; 00071; 00280; 00310; 00330; 00340; 00380; 00410; 00561; 00620; 00640; 01100
218,ALDH3A1,"aldehyde dehydrogenase 3 family, member A1",00010; 00340; 00350; 00360; 00980; 00982; 01100
219,ALDH1B1,"aldehyde dehydrogenase 1 family, member B1",00010; 00040; 00053; 00071; 00280; 00310; 00330; 00340; 00380; 00410; 00561; 00620; 00640; 01100
220,ALDH1A3,"aldehyde dehydrogenase 1 family, member A3",00010; 00340; 00350; 00360; 00980; 00982; 01100
221,ALDH3B1,"aldehyde dehydrogenase 3 family, member B1",00010; 00340; 00350; 00360; 00980; 00982; 01100
222,ALDH3B2,"aldehyde dehydrogenase 3 family, member B2",00010; 00340; 00350; 00360; 00980; 00982; 01100
223,ALDH9A1,"aldehyde dehydrogenase 9 family, member A1",00010; 00053; 00071; 00280; 00310; 00330; 00340; 00380; 00410; 00561; 00620; 00640; 01100
224,ALDH3A2,"aldehyde dehydrogenase 3 family, member A2",00010; 00040; 00053; 00071; 00280; 00310; 00330; 00340; 00380; 00410; 00561; 00620; 00640; 01100
225,ABCD2,"ATP-binding cassette, sub-family D (ALD), member 2",02010; 04146
226,ALDOA,"aldolase A, fructose-bisphosphate",00010; 00030; 00051; 01100
228,ALDOAP2,"aldolase A, fructose-bisphosphate pseudogene 2",NA
229,ALDOB,"aldolase B, fructose-bisphosphate",00010; 00030; 00051; 01100
230,ALDOC,"aldolase C, fructose-bisphosphate",00010; 00030; 00051; 01100
231,AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)",00040; 00051; 00052; 00561; 00620; 01100
236,AKR1B1P2,"aldo-keto reductase family 1, member B1 pseudogene 2",NA
238,ALK,anaplastic lymphoma receptor tyrosine kinase,NA
239,ALOX12,arachidonate 12-lipoxygenase,00590; 01100
240,ALOX5,arachidonate 5-lipoxygenase,00590; 01100; 05145
241,ALOX5AP,arachidonate 5-lipoxygenase-activating protein,NA
242,ALOX12B,"arachidonate 12-lipoxygenase, 12R type",00590; 01100
243,ALOX12P1,arachidonate 12-lipoxygenase pseudogene 1,NA
244,ANXA8L2,annexin A8-like 2,NA
245,ALOX12P2,arachidonate 12-lipoxygenase pseudogene 2,NA
246,ALOX15,arachidonate 15-lipoxygenase,00590; 00591; 01100
247,ALOX15B,"arachidonate 15-lipoxygenase, type B",00590; 01100
248,ALPI,"alkaline phosphatase, intestinal",00790; 01100
249,ALPL,"alkaline phosphatase, liver/bone/kidney",00790; 01100
250,ALPP,"alkaline phosphatase, placental",00790; 01100
251,ALPPL2,"alkaline phosphatase, placental-like 2",00790; 01100
253,ALS3,amyotrophic lateral sclerosis 3 (autosomal dominant),NA
255,ALS5,amyotrophic lateral sclerosis 5,NA
257,ALX3,ALX homeobox 3,NA
258,AMBN,ameloblastin (enamel matrix protein),NA
259,AMBP,alpha-1-microglobulin/bikunin precursor,NA
261,AMCN,"arthrogryposis multiplex congenita, neurogenic",NA
262,AMD1,adenosylmethionine decarboxylase 1,00270; 00330; 01100
263,AMDP1,adenosylmethionine decarboxylase pseudogene 1,NA
265,AMELX,"amelogenin, X-linked",NA
266,AMELY,"amelogenin, Y-linked",NA
267,AMFR,"autocrine motility factor receptor, E3 ubiquitin protein ligase",4141
268,AMH,anti-Mullerian hormone,04060; 04350
269,AMHR2,"anti-Mullerian hormone receptor, type II",04060; 04350
270,AMPD1,adenosine monophosphate deaminase 1,00230; 01100
271,AMPD2,adenosine monophosphate deaminase 2,00230; 01100
272,AMPD3,adenosine monophosphate deaminase 3,00230; 01100
273,AMPH,amphiphysin,4666
274,BIN1,bridging integrator 1,NA
275,AMT,aminomethyltransferase,00260; 00670; 00910; 01100
276,AMY1A,"amylase, alpha 1A (salivary)",00500; 01100; 04970; 04973
277,AMY1B,"amylase, alpha 1B (salivary)",00500; 01100; 04970; 04973
278,AMY1C,"amylase, alpha 1C (salivary)",00500; 01100; 04970; 04973
