"gene_id","accession"
"1","ENSG00000121410"
"2","ENSG00000175899"
"3","ENSG00000256069"
"9","ENSG00000171428"
"10","ENSG00000156006"
"12","ENSG00000196136"
"13","ENSG00000114771"
"14","ENSG00000127837"
"15","ENSG00000129673"
"16","ENSG00000090861"
"18","ENSG00000183044"
"19","ENSG00000165029"
"20","ENSG00000107331"
"21","ENSG00000167972"
"22","ENSG00000131269"
"23","ENSG00000204574"
"24","ENSG00000198691"
"25","ENSG00000097007"
"26","ENSG00000002726"
"27","ENSG00000143322"
"29","ENSG00000159842"
"30","ENSG00000060971"
"31","ENSG00000132142"
"32","ENSG00000076555"
"33","ENSG00000115361"
"34","ENSG00000117054"
"35","ENSG00000122971"
"36","ENSG00000196177"
"37","ENSG00000072778"
"38","ENSG00000075239"
"40","ENSG00000108684"
"41","ENSG00000110881"
"43","ENSG00000087085"
"47","ENSG00000131473"
"48","ENSG00000122729"
"49","ENSG00000100312"
"50","ENSG00000100412"
"51","ENSG00000161533"
"52","ENSG00000143727"
"53","ENSG00000134575"
"54","ENSG00000102575"
"55","ENSG00000014257"
"56","ENSG00000134940"
"58","ENSG00000143632"
"59","ENSG00000107796"
"60","ENSG00000075624"
"70","ENSG00000159251"
"71","ENSG00000184009"
"72","ENSG00000163017"
"86","ENSG00000136518"
"87","ENSG00000072110"
"88","ENSG00000077522"
"89","ENSG00000248746"
"90","ENSG00000115170"
"91","ENSG00000135503"
"92","ENSG00000121989"
"94","ENSG00000139567"
"95","ENSG00000114786"
"95","ENSG00000243989"
"97","ENSG00000119640"
"98","ENSG00000170634"
"100","ENSG00000196839"
"101","ENSG00000151651"
"103","ENSG00000160710"
"104","ENSG00000197381"
"107","ENSG00000164742"
"108","ENSG00000078295"
"109","ENSG00000138031"
"111","ENSG00000173175"
"112","ENSG00000174233"
"113","ENSG00000121281"
"114","ENSG00000155897"
"115","ENSG00000162104"
"116","ENSG00000141433"
"117","ENSG00000078549"
"118","ENSG00000087274"
"119","ENSG00000075340"
"120","ENSG00000148700"
"123","ENSG00000147872"
"124","ENSG00000187758"
"126","ENSG00000248144"
"127","ENSG00000198099"
"128","ENSG00000197894"
"130","ENSG00000172955"
"131","ENSG00000196344"
"132","ENSG00000156110"
"134","ENSG00000163485"
"135","ENSG00000128271"
"136","ENSG00000170425"
"140","ENSG00000121933"
"141","ENSG00000144843"
"142","ENSG00000143799"
"143","ENSG00000102699"
"146","ENSG00000171873"
"148","ENSG00000120907"
"150","ENSG00000150594"
"151","ENSG00000222040"
"152","ENSG00000184160"
"153","ENSG00000043591"
"154","ENSG00000169252"
"155","ENSG00000188778"
"156","ENSG00000173020"
"158","ENSG00000239900"
"159","ENSG00000035687"
"160","ENSG00000196961"
"161","ENSG00000183020"
"162","ENSG00000100280"
"163","ENSG00000006125"
"164","ENSG00000166747"
"165","ENSG00000106624"
"166","ENSG00000104964"
"167","ENSG00000124812"
"172","ENSG00000223959"
"173","ENSG00000079557"
"174","ENSG00000081051"
"175","ENSG00000038002"
"176","ENSG00000157766"
"177","ENSG00000204305"
"178","ENSG00000162688"
"181","ENSG00000159723"
"182","ENSG00000101384"
"183","ENSG00000135744"
"185","ENSG00000144891"
"186","ENSG00000180772"
"189","ENSG00000172482"
"191","ENSG00000101444"
"196","ENSG00000106546"
"197","ENSG00000145192"
"199","ENSG00000204472"
"202","ENSG00000112297"
"203","ENSG00000106992"
"204","ENSG00000004455"
"205","ENSG00000162433"
"207","ENSG00000142208"
"208","ENSG00000105221"
"210","ENSG00000148218"
"211","ENSG00000023330"
"212","ENSG00000158578"
"213","ENSG00000163631"
"214","ENSG00000170017"
"215","ENSG00000101986"
"216","ENSG00000165092"
"217","ENSG00000111275"
"218","ENSG00000108602"
"219","ENSG00000137124"
"220","ENSG00000184254"
"222","ENSG00000132746"
"223","ENSG00000143149"
"224","ENSG00000072210"
"226","ENSG00000149925"
"229","ENSG00000136872"
"230","ENSG00000109107"
"231","ENSG00000085662"
"238","ENSG00000171094"
"239","ENSG00000108839"
"240","ENSG00000012779"
"241","ENSG00000132965"
"242","ENSG00000179477"
"244","ENSG00000186807"
"246","ENSG00000161905"
"247","ENSG00000179593"
"248","ENSG00000163295"
"249","ENSG00000162551"
"250","ENSG00000163283"
"251","ENSG00000163286"
"258","ENSG00000178522"
"259","ENSG00000106927"
"262","ENSG00000123505"
"265","ENSG00000125363"
"266","ENSG00000099721"
"267","ENSG00000159461"
"268","ENSG00000104899"
"269","ENSG00000135409"
"270","ENSG00000116748"
"271","ENSG00000116337"
"272","ENSG00000133805"
"273","ENSG00000078053"
"274","ENSG00000136717"
"275","ENSG00000145020"
"276","ENSG00000237763"
"277","ENSG00000174876"
"278","ENSG00000187733"
"279","ENSG00000243480"
"280","ENSG00000240038"
"283","ENSG00000214274"
"284","ENSG00000154188"
"285","ENSG00000091879"
"286","ENSG00000029534"
"287","ENSG00000145362"
"288","ENSG00000151150"
"290","ENSG00000166825"
"292","ENSG00000005022"
"301","ENSG00000135046"
"302","ENSG00000182718"
"304","ENSG00000231991"
"306","ENSG00000138772"
"307","ENSG00000196975"
"308","ENSG00000164111"
"309","ENSG00000197043"
"310","ENSG00000138279"
"311","ENSG00000122359"
"312","ENSG00000104537"
"313","ENSG00000136250"
"314","ENSG00000131480"
"316","ENSG00000138356"
"317","ENSG00000120868"
"318","ENSG00000164978"
"319","ENSG00000175336"
"321","ENSG00000034053"
"322","ENSG00000166313"
"323","ENSG00000163697"
"324","ENSG00000134982"
"325","ENSG00000132703"
"326","ENSG00000160224"
"327","ENSG00000164062"
"328","ENSG00000100823"
"329","ENSG00000110330"
"330","ENSG00000023445"
"331","ENSG00000101966"
"332","ENSG00000089685"
"333","ENSG00000105290"
"334","ENSG00000084234"
"335","ENSG00000118137"
"336","ENSG00000158874"
"337","ENSG00000110244"
"338","ENSG00000084674"
"339","ENSG00000111701"
"341","ENSG00000130208"
"342","ENSG00000214855"
"343","ENSG00000103375"
"344","ENSG00000224916"
"345","ENSG00000110245"
"346","ENSG00000224916"
"346","ENSG00000267467"
"347","ENSG00000189058"
"348","ENSG00000130203"
"350","ENSG00000091583"
"351","ENSG00000142192"
"353","ENSG00000198931"
"354","ENSG00000142515"
"355","ENSG00000026103"
"356","ENSG00000117560"
"357","ENSG00000146950"
"358","ENSG00000240583"
"359","ENSG00000167580"
"360","ENSG00000165272"
"361","ENSG00000171885"
"364","ENSG00000165269"
"366","ENSG00000103569"
"367","ENSG00000169083"
"368","ENSG00000091262"
"369","ENSG00000078061"
"372","ENSG00000095139"
"373","ENSG00000113595"
"374","ENSG00000109321"
"375","ENSG00000143761"
"377","ENSG00000134287"
"378","ENSG00000168374"
"379","ENSG00000175906"
"381","ENSG00000004059"
"383","ENSG00000118520"
"384","ENSG00000081181"
"387","ENSG00000067560"
"388","ENSG00000143878"
"389","ENSG00000155366"
"390","ENSG00000115963"
"391","ENSG00000177105"
"392","ENSG00000175220"
"393","ENSG00000089820"
"394","ENSG00000100852"
"395","ENSG00000047648"
"396","ENSG00000141522"
"397","ENSG00000111348"
"398","ENSG00000242173"
"399","ENSG00000168421"
"400","ENSG00000120805"
"401","ENSG00000165462"
"402","ENSG00000213465"
"405","ENSG00000143437"
"406","ENSG00000133794"
"407","ENSG00000120500"
"409","ENSG00000141480"
"411","ENSG00000113273"
"412","ENSG00000101846"
"414","ENSG00000006756"
"415","ENSG00000157399"
"416","ENSG00000062096"
"417","ENSG00000129744"
"419","ENSG00000156219"
"421","ENSG00000099889"
"427","ENSG00000104763"
"429","ENSG00000139352"
"430","ENSG00000183734"
"432","ENSG00000141505"
"433","ENSG00000161944"
"434","ENSG00000101440"
"435","ENSG00000126522"
"438","ENSG00000196433"
"439","ENSG00000198356"
"440","ENSG00000070669"
"444","ENSG00000198363"
"445","ENSG00000130707"
"460","ENSG00000152092"
"462","ENSG00000117601"
"463","ENSG00000140836"
"466","ENSG00000123268"
"467","ENSG00000162772"
"468","ENSG00000128272"
"471","ENSG00000138363"
"472","ENSG00000149311"
"473","ENSG00000142599"
"474","ENSG00000172238"
"475","ENSG00000177556"
"476","ENSG00000163399"
"477","ENSG00000018625"
"478","ENSG00000105409"
"479","ENSG00000075673"
"480","ENSG00000132681"
"481","ENSG00000143153"
"482","ENSG00000129244"
"483","ENSG00000069849"
"486","ENSG00000137731"
"487","ENSG00000196296"
"488","ENSG00000174437"
"489","ENSG00000074370"
"490","ENSG00000070961"
"491","ENSG00000157087"
"492","ENSG00000067842"
"493","ENSG00000058668"
"495","ENSG00000105675"
"496","ENSG00000186009"
"498","ENSG00000152234"
"501","ENSG00000164904"
"506","ENSG00000110955"
"509","ENSG00000165629"
"513","ENSG00000099624"
"516","ENSG00000159199"
"517","ENSG00000135390"
"521","ENSG00000169020"
"522","ENSG00000154723"
"523","ENSG00000114573"
"525","ENSG00000116039"
