"gene_id","accession"
"1","NM_130786"
"1","NP_570602"
"2","NM_000014"
"2","NP_000005"
"3","NR_040112"
"9","NM_000662"
"9","NM_001160170"
"9","NM_001160171"
"9","NM_001160172"
"9","NM_001160173"
"9","NM_001160174"
"9","NM_001160175"
"9","NM_001160176"
"9","NM_001160179"
"9","NP_000653"
"9","NP_001153642"
"9","NP_001153643"
"9","NP_001153644"
"9","NP_001153645"
"9","NP_001153646"
"9","NP_001153647"
"9","NP_001153648"
"9","NP_001153651"
"10","NM_000015"
"10","NP_000006"
"12","NM_001085"
"12","NP_001076"
"13","NM_001086"
"13","NP_001077"
"14","NM_001087"
"14","NP_001078"
"15","NM_001088"
"15","NM_001166579"
"15","NP_001079"
"15","NP_001160051"
"16","NM_001605"
"16","NP_001596"
"18","NM_000663"
"18","NM_001127448"
"18","NM_020686"
"18","NP_000654"
"18","NP_001120920"
"18","NP_065737"
"19","NM_005502"
"19","NP_005493"
"20","NM_001606"
"20","NM_212533"
"20","NP_001597"
"20","NP_997698"
"21","NM_001089"
"21","NP_001080"
"22","NM_004299"
"22","NP_004290"
"23","NM_001025091"
"23","NM_001090"
"23","NP_001020262"
"23","NP_001081"
"24","NM_000350"
"24","NP_000341"
"25","NM_005157"
"25","NM_007313"
"25","NP_005148"
"25","NP_009297"
"26","NM_001091"
"26","NP_001082"
"27","NM_001136000"
"27","NM_001136001"
"27","NM_001168236"
"27","NM_001168237"
"27","NM_001168238"
"27","NM_001168239"
"27","NM_005158"
"27","NM_007314"
"27","NP_001129472"
"27","NP_001129473"
"27","NP_001161708"
"27","NP_001161709"
"27","NP_001161710"
"27","NP_001161711"
"27","NP_005149"
"27","NP_009298"
"28","NM_020469"
"28","NP_065202"
"29","NM_001092"
"29","NM_001159746"
"29","NM_001256847"
"29","NM_021962"
"29","NP_001083"
"29","NP_001153218"
"29","NP_001243776"
"29","NP_068781"
"29","NR_046393"
"30","NM_001130410"
"30","NM_001607"
"30","NP_001123882"
"30","NP_001598"
"30","NR_024024"
"31","NM_000664"
"31","NM_198834"
"31","NM_198835"
"31","NM_198836"
"31","NM_198837"
"31","NM_198838"
"31","NM_198839"
"31","NP_942131"
"31","NP_942133"
"31","NP_942134"
"31","NP_942135"
"31","NP_942136"
"32","NM_001093"
"32","NP_001084"
"33","NM_001608"
"33","NP_001599"
"34","NM_000016"
"34","NM_001127328"
"34","NP_000007"
"34","NP_001120800"
"34","NR_022013"
"35","NM_000017"
"35","NP_000008"
"36","NM_001609"
"36","NP_001600"
"37","NM_000018"
"37","NM_001033859"
"37","NM_001270447"
"37","NM_001270448"
"37","NP_000009"
"37","NP_001029031"
"37","NP_001257376"
"37","NP_001257377"
"38","NM_000019"
"38","NP_000010"
"39","NM_005891"
"39","NP_005882"
"40","NM_001094"
"40","NM_183377"
"40","NP_001085"
"40","NP_899233"
"41","NM_001095"
"41","NM_001256830"
"41","NM_020039"
"41","NP_001086"
"41","NP_001243759"
"41","NP_064423"
"41","NR_046389"
"43","NM_000665"
"43","NM_015831"
"43","NP_000656"
"43","NP_056646"
"47","NM_001096"
"47","NM_198830"
"47","NP_001087"
"47","NP_942127"
"48","NM_002197"
"48","NP_002188"
"49","NM_001097"
"49","NP_001088"
"50","NM_001098"
"50","NP_001089"
"51","NM_001185039"
"51","NM_004035"
"51","NM_007292"
"51","NP_001171968"
"51","NP_004026"
"51","NP_009223"
"52","NM_001040649"
"52","NM_004300"
"52","NM_007099"
"52","NM_177554"
"52","NP_001035739"
"52","NP_004291"
"52","NP_009030"
"52","NR_024080"
"53","NM_001131064"
"53","NM_001610"
"53","NP_001124536"
"53","NP_001601"
"54","NM_001111034"
"54","NM_001111035"
"54","NM_001111036"
"54","NM_001611"
"54","NP_001104504"
"54","NP_001104505"
"54","NP_001104506"
"54","NP_001602"
"55","NM_001099"
"55","NM_001134194"
"55","NP_001090"
"55","NP_001127666"
"56","NM_001612"
"56","NM_020069"
"56","NM_020107"
"56","NM_020108"
"56","NM_020109"
"56","NM_020110"
"56","NM_020111"
"56","NM_020112"
"56","NM_020113"
"56","NM_020114"
"56","NM_020115"
"56","NP_001603"
"56","NP_064454"
"56","NP_064492"
"56","NP_064493"
"58","NM_001100"
"58","NP_001091"
"59","NM_001141945"
"59","NM_001613"
"59","NP_001135417"
"59","NP_001604"
"60","NM_001101"
"60","NP_001092"
"70","NM_005159"
"70","NP_005150"
"71","NM_001199954"
"71","NM_001614"
"71","NP_001186883"
"71","NP_001605"
"71","NR_037688"
"72","NM_001199893"
"72","NM_001615"
"72","NP_001186822"
"72","NP_001606"
"81","NM_004924"
"81","NP_004915"
"86","NM_004301"
"86","NM_177989"
"86","NM_178042"
"86","NP_004292"
"86","NP_817126"
"86","NP_829888"
"87","NM_001102"
"87","NM_001130004"
"87","NM_001130005"
"87","NP_001093"
"87","NP_001123476"
"87","NP_001123477"
"88","NM_001103"
"88","NP_001094"
"89","NM_001104"
"89","NM_001258371"
"89","NP_001095"
"89","NP_001245300"
"89","NR_047663"
"90","NM_001105"
"90","NM_001111067"
"90","NP_001096"
"90","NP_001104537"
"91","NM_004302"
"91","NM_020327"
"91","NM_020328"
"91","NP_004293"
"91","NP_064732"
"91","NP_064733"
"92","NM_001616"
"92","NP_001607"
"93","NM_001106"
"93","NP_001097"
"94","NM_000020"
"94","NM_001077401"
"94","NP_000011"
"94","NP_001070869"
"95","NM_000666"
"95","NM_001198895"
"95","NM_001198896"
"95","NM_001198897"
"95","NM_001198898"
"95","NP_000657"
"95","NP_001185824"
"95","NP_001185825"
"95","NP_001185826"
"95","NP_001185827"
"97","NM_001107"
"97","NM_203488"
"97","NP_001098"
"97","NP_982355"
"98","NM_138448"
"98","NP_612457"
"100","NM_000022"
"100","NP_000013"
"101","NM_001109"
"101","NM_001164489"
"101","NM_001164490"
"101","NP_001100"
"101","NP_001157961"
"101","NP_001157962"
"102","NM_001110"
"102","NP_001101"
"103","NM_001025107"
"103","NM_001111"
"103","NM_001193495"
"103","NM_015840"
"103","NM_015841"
"103","NP_001020278"
"103","NP_001102"
"103","NP_001180424"
"103","NP_056655"
"103","NP_056656"
"104","NM_001033049"
"104","NM_001112"
"104","NM_001160230"
"104","NM_015833"
"104","NM_015834"
"104","NP_001103"
"104","NP_001153702"
"104","NP_056648"
"104","NP_056649"
"104","NR_027672"
"104","NR_027673"
"104","NR_027674"
"105","NM_018702"
"105","NP_061172"
"107","NM_021116"
"107","NP_066939"
"108","NM_020546"
"108","NP_065433"
"109","NM_004036"
"109","NP_004027"
"111","NM_001199642"
"111","NM_183357"
"111","NP_001186571"
"111","NP_899200"
"112","NM_015270"
"112","NM_020983"
"112","NP_056085"
"112","NP_066193"
"113","NM_001114"
"113","NP_001105"
"114","NM_001115"
"114","NP_001106"
"115","NM_001116"
"115","NP_001107"
"116","NM_001099733"
"116","NM_001117"
"116","NP_001093203"
"116","NP_001108"
"117","NM_001118"
"117","NM_001199635"
"117","NM_001199636"
"117","NM_001199637"
"117","NP_001109"
"117","NP_001186564"
"117","NP_001186565"
"117","NP_001186566"
"118","NM_001119"
"118","NM_014189"
"118","NM_014190"
"118","NM_176801"
"118","NP_001110"
"118","NP_054908"
"118","NP_054909"
"118","NP_789771"
"119","NM_001185054"
"119","NM_001185055"
"119","NM_001617"
"119","NM_017482"
"119","NM_017483"
"119","NM_017484"
"119","NM_017485"
"119","NM_017486"
"119","NM_017487"
"119","NM_017488"
"119","NP_001171983"
"119","NP_001171984"
"119","NP_001608"
"119","NP_059516"
"119","NP_059522"
"120","NM_001121"
"120","NM_016824"
"120","NM_019903"
"120","NP_001112"
"120","NP_058432"
"120","NP_063968"
"123","NM_001122"
"123","NP_001113"
"123","NR_038064"
"124","NM_000667"
"124","NP_000658"
"125","NM_000668"
"125","NP_000659"
"126","NM_000669"
"126","NP_000660"
"127","NM_000670"
"127","NP_000661"
"128","NM_000671"
"128","NP_000662"
"130","NM_000672"
"130","NM_001102470"
"130","NP_000663"
"130","NP_001095940"
"131","NM_000673"
"131","NM_001166504"
"131","NP_000664"
"131","NP_001159976"
"132","NM_001123"
"132","NM_001202449"
"132","NM_001202450"
"132","NM_006721"
"132","NP_001114"
"132","NP_001189378"
"132","NP_001189379"
"132","NP_006712"
"133","NM_001124"
"133","NP_001115"
"134","NM_000674"
"134","NM_001048230"
"134","NP_000665"
"134","NP_001041695"
"135","NM_000675"
"135","NP_000666"
"136","NM_000676"
"136","NP_000667"
"140","NM_000677"
"140","NM_001081976"
"140","NM_020683"
"140","NP_000668"
"140","NP_001075445"
"140","NP_065734"
"141","NM_001125"
"141","NP_001116"
"142","NM_001618"
"142","NP_001609"
"143","NM_006437"
"143","NP_006428"
"146","NM_000678"
"146","NP_000669"
"147","NM_000679"
"147","NP_000670"
"148","NM_000680"
"148","NM_033302"
"148","NM_033303"
"148","NM_033304"
"148","NP_000671"
"148","NP_150645"
"148","NP_150646"
"148","NP_150647"
"150","NM_000681"
"150","NP_000672"
"151","NM_000682"
"151","NP_000673"
"152","NM_000683"
"152","NP_000674"
"153","NM_000684"
"153","NP_000675"
"154","NM_000024"
"154","NP_000015"
"155","NM_000025"
"155","NP_000016"
"156","NM_001619"
"156","NP_001610"
"157","NM_005160"
"157","NP_005151"
"158","NM_000026"
"158","NM_001123378"
"158","NP_000017"
"158","NP_001116850"
"159","NM_001126"
"159","NP_001117"
"160","NM_014203"
"160","NM_130787"
"160","NP_055018"
"160","NP_570603"
"161","NM_001242837"
"161","NM_012305"
"161","NP_001229766"
"161","NP_036437"
"162","NM_001127"
"162","NM_001166019"
"162","NM_145730"
"162","NP_001118"
"162","NP_001159491"
"162","NP_663782"
"163","NM_001030006"
"163","NM_001282"
"163","NP_001025177"
"163","NP_001273"
"164","NM_001030007"
"164","NM_001128"
"164","NP_001025178"
"164","NP_001119"
"165","NM_001129"
"165","NP_001120"
"166","NM_001130"
"166","NM_198969"
"166","NM_198970"
"166","NP_001121"
"166","NP_945320"
"166","NP_945321"
