"gene_id","accession"
"11287","NM_007376"
"11287","NP_031402"
"11298","NM_009591"
"11298","NP_033721"
"11298","NR_033223"
"11302","NM_001198785"
"11302","NM_001198787"
"11302","NM_007377"
"11302","NP_001185714"
"11302","NP_001185716"
"11302","NP_031403"
"11303","NM_013454"
"11303","NP_038482"
"11304","NM_007378"
"11304","NP_031404"
"11305","NM_007379"
"11305","NP_031405"
"11306","NM_009592"
"11306","NP_033722"
"11307","NM_009593"
"11307","NP_033723"
"11308","NM_001077190"
"11308","NM_001077192"
"11308","NM_001077193"
"11308","NM_007380"
"11308","NM_145994"
"11308","NP_001070658"
"11308","NP_001070660"
"11308","NP_001070661"
"11308","NP_031406"
"11308","NP_666106"
"11350","NM_001112703"
"11350","NM_009594"
"11350","NP_001106174"
"11350","NP_033724"
"11352","NM_001136104"
"11352","NM_009595"
"11352","NP_001129576"
"11352","NP_033725"
"11354","NM_009596"
"11354","NP_033726"
"11363","NM_007381"
"11363","NP_031407"
"11364","NM_007382"
"11364","NP_031408"
"11370","NM_017366"
"11370","NP_059062"
"11409","NM_007383"
"11409","NP_031409"
"11416","NM_015728"
"11416","NP_056543"
"11418","NM_001034013"
"11418","NM_007384"
"11418","NP_001029185"
"11418","NP_031410"
"11419","NM_009597"
"11419","NP_033727"
"11421","NM_009598"
"11421","NM_207624"
"11421","NP_033728"
"11421","NP_997507"
"11423","NM_009599"
"11423","NP_033729"
"11425","NM_007385"
"11425","NP_031411"
"11426","NM_001199136"
"11426","NM_001199137"
"11426","NM_009600"
"11426","NP_001186065"
"11426","NP_001186066"
"11428","NM_007386"
"11428","NP_031412"
"11429","NM_080633"
"11429","NP_542364"
"11430","NM_015729"
"11430","NP_056544"
"11431","NM_001110239"
"11431","NM_021330"
"11431","NP_001103709"
"11431","NP_067305"
"11432","NM_007387"
"11432","NP_031413"
"11433","NM_001102404"
"11433","NM_001102405"
"11433","NM_007388"
"11433","NP_001095874"
"11433","NP_001095875"
"11433","NP_031414"
"11434","NM_001205049"
"11434","NM_013455"
"11434","NP_001191978"
"11434","NP_038483"
"11435","NM_007389"
"11435","NP_031415"
"11438","NM_015730"
"11438","NP_056545"
"11440","NM_021369"
"11440","NP_067344"
"11441","NM_007390"
"11441","NP_031416"
"11443","NM_009601"
"11443","NP_033731"
"11444","NM_009602"
"11444","NP_033732"
"11447","NM_021600"
"11447","NP_067611"
"11448","NM_009603"
"11448","NP_033733"
"11449","NM_009604"
"11449","NP_033734"
"11450","NM_009605"
"11450","NP_033735"
"11451","NM_007391"
"11451","NP_031417"
"11459","NM_009606"
"11459","NP_033736"
"11461","NM_007393"
"11461","NP_031419"
"11464","NM_009608"
"11464","NP_033738"
"11465","NM_009609"
"11465","NP_033739"
"11468","NM_009610"
"11468","NP_033740"
"11470","NM_009611"
"11470","NP_033741"
"11471","NM_025271"
"11471","NP_079547"
"11472","NM_033268"
"11472","NP_150371"
"11474","NM_013456"
"11474","NP_038484"
"11475","NM_007392"
"11475","NP_031418"
"11477","NM_001110204"
"11477","NM_001110205"
"11477","NM_007394"
"11477","NP_001103674"
"11477","NP_001103675"
"11477","NP_031420"
"11479","NM_007395"
"11479","NP_031421"
"11480","NM_007396"
"11480","NP_031422"
"11481","NM_007397"
"11481","NP_031423"
"11482","NM_009612"
"11482","NP_033742"
"11484","NM_023113"
"11484","NP_075602"
"11486","NM_007398"
"11486","NP_031424"
"11487","NM_007399"
"11487","NP_031425"
"11488","NM_001110778"
"11488","NM_009613"
"11488","NP_001104248"
"11488","NP_033743"
"11489","NM_007400"
"11489","NP_031426"
"11490","NM_001037722"
"11490","NM_009614"
"11490","NP_001032811"
"11490","NP_033744"
"11491","NM_009615"
"11491","NP_033745"
"11492","NM_009616"
"11492","NP_033746"
"11495","NM_009618"
"11495","NP_033748"
"11496","NM_001007220"
"11496","NM_001007221"
"11496","NM_001098225"
"11496","NP_001007221"
"11496","NP_001007222"
"11496","NP_001091695"
"11497","NM_009619"
"11497","NP_033749"
"11498","NM_009620"
"11498","NP_033750"
"11499","NM_007401"
"11499","NP_031427"
"11500","NM_007402"
"11500","NP_031428"
"11501","NM_007403"
"11501","NP_031429"
"11502","NM_001270996"
"11502","NM_007404"
"11502","NP_001257925"
"11502","NP_031430"
"11504","NM_009621"
"11504","NP_033751"
"11512","NM_007405"
"11512","NP_031431"
"11513","NM_001037723"
"11513","NM_001037724"
"11513","NM_001109756"
"11513","NM_007406"
"11513","NP_001032812"
"11513","NP_001032813"
"11513","NP_001103226"
"11513","NP_031432"
"11514","NM_009623"
"11514","NP_033753"
"11515","NM_009624"
"11515","NP_033754"
"11516","NM_009625"
"11516","NP_033755"
"11517","NM_001025372"
"11517","NM_007407"
"11517","NP_001020543"
"11517","NP_031433"
"11518","NM_001024458"
"11518","NM_001102444"
"11518","NM_013457"
"11518","NP_001019629"
"11518","NP_001095914"
"11518","NP_038485"
"11519","NM_013458"
"11519","NP_038486"
"11520","NM_007408"
"11520","NP_031434"
"11522","NM_007409"
"11522","NP_031435"
"11529","NM_009626"
"11529","NP_033756"
"11532","NM_007410"
"11532","NP_031436"
"11534","NM_001243041"
"11534","NM_134079"
"11534","NP_001229970"
"11534","NP_598840"
"11535","NM_009627"
"11535","NP_033757"
"11536","NM_007412"
"11536","NP_031438"
"11537","NM_013459"
"11537","NP_038487"
"11538","NM_009628"
"11538","NP_033758"
"11539","NM_001008533"
"11539","NM_001039510"
"11539","NM_009629"
"11539","NP_001008533"
"11539","NP_001034599"
"11540","NM_009630"
