OMIM,label
609874,"INTELECTIN 2"
242510,"ICHTHYOSIS WITH ALOPECIA, ECLABIUM, ECTROPION, AND MENTAL RETARDATION"
215300,"CHONDROSARCOMA"
300252,"PEPTIDYL-PROLYL CIS/TRANS ISOMERASE, NIMA-INTERACTING, 4"
300253,"G PROTEIN-COUPLED RECEPTOR 173"
300250,"GLUCOCORTICOID DEFICIENCY 1"
300251,"WASP PROTEIN FAMILY, MEMBER 2"
300256,"17-BETA-HYDROXYSTEROID DEHYDROGENASE X"
300257,"DANON DISEASE"
300254,"SUPPRESSOR OF VARIEGATION 3-9, DROSOPHILA, HOMOLOG OF, 1"
300255,"O-LINKED N-ACETYLGLUCOSAMINE TRANSFERASE"
300258,"ROIFMAN SYNDROME"
300259,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO, X-LINKED"
114070,"ANNEXIN A6"
608776,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Il"
607798,"TATA BOX-BINDING PROTEIN-ASSOCIATED FACTOR 1-LIKE"
154270,"MALIC ENZYME 2"
154276,"MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 3"
154275,"MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 2"
125400,"DENTIN DYSPLASIA, TYPE I"
609406,"PROLINE-RICH PROTEIN 5"
609405,"RHO GTPase-ACTIVATING PROTEIN 8"
609404,"PREECLAMPSIA/ECLAMPSIA 4"
609403,"PREECLAMPSIA/ECLAMPSIA 3"
609402,"PREECLAMPSIA/ECLAMPSIA 2"
609401,"HEPARAN SULFATE 6-O-SULFOTRANSFERASE 3"
609400,"AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 4"
609409,"HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A0"
609408,"HOLOPROSENCEPHALY 8"
190330,"TRICHOMEGALY"
211550,"PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA"
607794,"MEST INTRONIC TRANSCRIPT 1"
608778,"KELCH-LIKE 10"
608779,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIe"
176680,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA-1"
163500,"NIGHT BLINDNESS, CONGENITAL STATIONARY, AUTOSOMAL DOMINANT 2"
118800,"PAROXYSMAL NONKINESIGENIC DYSKINESIA 1"
256120,"NEPHROPATHY, DEAFNESS, AND HYPERPARATHYROIDISM"
274190,"THUMB AGENESIS, SHORT STATURE, AND IMMUNODEFICIENCY"
143170,"MALE-ENHANCED ANTIGEN 1"
616848,"MESODERM INDUCTION-EARLY RESPONSE PROTEIN 1"
179850,"DOWLING-DEGOS DISEASE 1"
613915,"ZINC FINGER- AND BTB DOMAIN-CONTAINING PROTEIN 42: ZBTB42"
607243,"ADAPTOR-RELATED PROTEIN COMPLEX 4, SIGMA-1 SUBUNIT"
607242,"ADAPTOR-RELATED PROTEIN COMPLEX 2, ALPHA-2 SUBUNIT"
607241,"CHROMOSOME 4 OPEN READING FRAME 7"
607240,"SET DOMAIN-CONTAINING PROTEIN 8"
268850,"RICHIERI-COSTA/GUION-ALMEIDA SYNDROME"
607246,"ADAPTOR-RELATED PROTEIN COMPLEX 3, DELTA-1 SUBUNIT"
607245,"ADAPTOR-RELATED PROTEIN COMPLEX 4, BETA-1 SUBUNIT"
607244,"ADAPTOR-RELATED PROTEIN COMPLEX 4, EPSILON-1 SUBUNIT"
151385,"RUNT-RELATED TRANSCRIPTION FACTOR 1"
151380,"LEUKEMIA, ACUTE MONOCYTIC"
305990,"GLYCINE RECEPTOR, ALPHA-2 SUBUNIT"
194363,"X-RAY REPAIR, COMPLEMENTING DEFECTIVE, IN CHINESE HAMSTER, 4"
223200,"DISORGANIZATION, MOUSE, HOMOLOG OF"
259720,"OSTEOPETROSIS, AUTOSOMAL RECESSIVE 5"
189100,"TOE, MISSHAPEN"
192225,"VASCULAR CELL ADHESION MOLECULE 1"
609988,"PYROPHOSPHATASE, INORGANIC, 2"
609989,"METAPHYSEAL CHONDRODYSPLASIA WITH CONE-SHAPED EPIPHYSES, NORMAL HAIR, AND NORMAL HANDS"
609982,"VACUOLAR PROTEIN SORTING 4, YEAST, HOMOLOG OF, A"
609983,"VACUOLAR PROTEIN SORTING 4, S. CEREVISIAE, HOMOLOG OF, B"
609980,"VESTIGIAL-LIKE 3"
609981,"IMMUNODEFICIENCY 54"
609986,"CASPASE RECRUITMENT DOMAIN-CONTAINING PROTEIN 6"
609987,"STIMULATED BY RETINOIC ACID 8"
609984,"ZWILCH, DROSOPHILA, HOMOLOG OF"
609985,"PANIC DISORDER 3"
617349,"AORTIC ANEURYSM, FAMILIAL THORACIC 11, SUSCEPTIBILITY TO"
617348,"CARBOXYPEPTIDASE X, M14 FAMILY, MEMBER 2"
617343,"HYPERPARATHYROIDISM 4"
617342,"PEPTIDYL-tRNA HYDROLASE DOMAIN-CONTAINING 1"
617341,"CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 2"
277900,"WILSON DISEASE"
617347,"HYPERLIPOPROTEINEMIA, TYPE III"
617346,"ATP/GTP-BINDING PROTEIN-LIKE 3"
617345,"ATP/GTP-BINDING PROTEIN-LIKE 2"
150160,"LACTATE DEHYDROGENASE A"
179590,"PROTEIN-TYROSINE PHOSPHATASE, RECEPTOR-TYPE, F"
267500,"RETICULAR DYSGENESIS"
264900,"COAGULATION FACTOR XI"
310900,"OCCIPITAL HAIR, WHITE LOCK OF"
227000,"ERYTHEMA OF ACRAL REGIONS"
185900,"CHROMOSOME 2q35 DUPLICATION SYNDROME"
616911,"IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 4"
616910,"IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 3"
616913,"BLEEDING DISORDER, PLATELET-TYPE, 20"
616912,"ENAH/VASP-LIKE PROTEIN"
616915,"ZEB1 ANTISENSE RNA 1, NONCODING"
616914,"MARFAN LIPODYSTROPHY SYNDROME"
616917,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 53"
616916,"SMALL ADP-RIBOSYLATION FACTOR GTPase-ACTIVATING PROTEIN 2"
616919,"FERM AND PDZ DOMAINS-CONTAINING PROTEIN 1"
616918,"PHOSPHATIDYLINOSITOL GLYCAN ANCHOR BIOSYNTHESIS CLASS G PROTEIN"
278900,"XYLOSIDASE DEFICIENCY"
265100,"PULMONARY ALVEOLAR MICROLITHIASIS"
561010,"RIBOSOMAL RNA, MITOCHONDRIAL, 16S"
