name	id
Acridone alkaloid biosynthesis	127813
"Alanine, aspartate and glutamate metabolism"	127795
Amino sugar and nucleotide sugar metabolism	127763
Aminobenzoate degradation	127765
Anthocyanin biosynthesis	127867
Arachidonic acid metabolism	127828
Arginine and proline metabolism	127908
Arginine biosynthesis	127903
Ascorbate and aldarate metabolism	127768
Atrazine degradation	127766
Benzoate degradation	127837
Benzoxazinoid biosynthesis	127842
Biosynthesis of 12- 14- and 16-membered macrolides	127878
Biosynthesis of ansamycins	127884
Biosynthesis of siderophore group nonribosomal peptides	127845
Biosynthesis of type II polyketide backbone	127859
Biosynthesis of type II polyketide products	127848
Biosynthesis of unsaturated fatty acids	127811
Biosynthesis of vancomycin group antibiotics	127816
Biotin metabolism	127906
Bisphenol degradation	127846
Brassinosteroid biosynthesis	127812
Butanoate metabolism	127806
Butirosin and neomycin biosynthesis	127771
C5-Branched dibasic acid metabolism	127863
Caffeine metabolism	127777
Caprolactam degradation	127834
Carbapenem biosynthesis	127896
Carbon fixation in photosynthetic organisms	127838
Carbon fixation pathways in prokaryotes	127800
Carotenoid biosynthesis	127853
Chloroalkane and chloroalkene degradation	127757
Chlorocyclohexane and chlorobenzene degradation	127796
Citrate cycle (TCA cycle)	127798
Clavulanic acid biosynthesis	127817
Cutin suberine and wax biosynthesis	127868
Cyanoamino acid metabolism	127899
Cysteine and methionine metabolism	127901
D-Alanine metabolism	127869
D-Arginine and D-ornithine metabolism	127905
D-Glutamine and D-glutamate metabolism	127849
DDT degradation	127797
Dioxin degradation	127801
Diterpenoid biosynthesis	127886
Drug metabolism - cytochrome P450	127760
Drug metabolism - other enzymes	127759
Ether lipid metabolism	127827
Ethylbenzene degradation	127836
Fatty acid biosynthesis	127809
Fatty acid degradation	127767
Fatty acid elongation in mitochondria	127778
Flavone and flavonol biosynthesis	127891
Flavonoid biosynthesis	127890
Fluorobenzoate degradation	127802
Folate biosynthesis	127893
Fructose and mannose metabolism	127785
Furfural degradation	127897
Galactose metabolism	127880
Glucosinolate biosynthesis	127860
Glutathione metabolism	127885
Glycerolipid metabolism	127825
Glycerophospholipid metabolism	127826
"Glycine, serine and threonine metabolism"	127898
Glycolysis or Gluconeogenesis	127790
Chondroitin sulfate biosynthesis	127851
Heparan sulfate biosynthesis	127881
Glycosaminoglycan biosynthesis - keratan sulfate	127769
Glycosaminoglycan degradation	127821
Glycosphingolipid biosynthesis - ganglio series	127824
Glycosphingolipid biosynthesis - globo series	127823
Glycosphingolipid biosynthesis - lacto and neolacto series	127822
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	127883
Glyoxylate and dicarboxylate metabolism	127799
Histidine metabolism	127862
Indole alkaloid biosynthesis	127895
Indole diterpene alkaloid biosynthesis	127888
Inositol phosphate metabolism	127774
Insect hormone biosynthesis	127887
Isoflavonoid biosynthesis	127866
Isoquinoline alkaloid biosynthesis	127852
Limonene and pinene degradation	127832
Linoleic acid metabolism	127829
Lipoic acid metabolism	127756
Lipopolysaccharide biosynthesis	127857
Lysine biosynthesis	127861
Lysine degradation	127808
Metabolism of xenobiotics by cytochrome P450	127865
Methane metabolism	127764
Monobactam biosynthesis	127902
Monoterpenoid biosynthesis	127892
Mucin type O-Glycan biosynthesis	127786
N-Glycan biosynthesis	127819
Naphthalene degradation	127803
Nicotinate and nicotinamide metabolism	127894
Nitrogen metabolism	127904
Nitrotoluene degradation	127864
Novobiocin biosynthesis	127873
One carbon pool by folate	127843
Other glycan degradation	127814
O-Glycan biosynthesis	127776
Oxidative phosphorylation	127839
Pantothenate and CoA biosynthesis	127780
Penicillin and cephalosporin biosynthesis	127840
Pentose and glucuronate interconversions	127871
Pentose phosphate pathway	127879
Peptidoglycan biosynthesis	127844
Phenylalanine metabolism	127874
"Phenylalanine, tyrosine and tryptophan biosynthesis"	127856
Phenylpropanoid biosynthesis	127889
Phosphonate and phosphinate metabolism	127870
Photosynthesis	127789
Photosynthesis - antenna proteins	127787
Polycyclic aromatic hydrocarbon degradation	127762
Polyketide sugar unit biosynthesis	127775
Porphyrin and chlorophyll metabolism	127815
Primary bile acid biosynthesis	127805
Propanoate metabolism	127794
Purine metabolism	127877
Puromycin biosynthesis	127818
Pyrimidine metabolism	127784
Pyruvate metabolism	127792
Retinol metabolism	127833
Riboflavin metabolism	127782
Secondary bile acid biosynthesis	127773
Selenoamino acid metabolism	127793
Sesquiterpenoid and triterpenoid biosynthesis	127761
Sphingolipid metabolism	127810
Starch and sucrose metabolism	127876
Steroid biosynthesis	127830
Steroid degradation	127872
Steroid hormone biosynthesis	127804
Streptomycin biosynthesis	127770
Styrene degradation	127847
Sulfur metabolism	127788
Synthesis and degradation of ketone bodies	127791
Taurine and hypotaurine metabolism	127841
Terpenoid backbone biosynthesis	127831
Tetracycline biosynthesis	127858
Thiamine metabolism	127855
Toluene degradation	127807
Tropane piperidine and pyridine alkaloid biosynthesis	127907
Tryptophan metabolism	127781
Tyrosine metabolism	127783
Ubiquinone and other terpenoid-quinone biosynthesis	127772
"Valine, leucine and isoleucine biosynthesis"	127779
"Valine, leucine and isoleucine degradation"	127900
Various types of N-glycan biosynthesis	127820
Vitamin B6 metabolism	127854
Xylene degradation	127835
Zeatin biosynthesis	127758
alpha-Linolenic acid metabolism	127882
beta-Alanine metabolism	127875
beta-Lactam resistance	127850
