gene,edge,net
K01457,128998,ko01100
K01457,129395,ko01100
K14541,128998,ko01100
K14541,129395,ko01100
K01194,129639,ko01100
K01608,129331,ko01100
K01602,128434,ko01100
K01602,128433,ko01100
K01601,128434,ko01100
K01601,128433,ko01100
K01188,129609,ko01100
K05349,129609,ko01100
K05350,129609,ko01100
K00422,128182,ko01100
K00505,128182,ko01100
K00501,128182,ko01100
K00515,129097,ko01100
K01698,129100,ko01100
K00422,128205,ko01100
K00793,129013,ko01100
K00423,128043,ko01100
K00509,128651,ko01100
K11987,128651,ko01100
K01749,129101,ko01100
K00811,128047,ko01100
K00266,128047,ko01100
K00812,128047,ko01100
K15371,128047,ko01100
K00264,128047,ko01100
K00260,128047,ko01100
K00261,128047,ko01100
K00262,128047,ko01100
K00265,128047,ko01100
K11358,128047,ko01100
K00813,128047,ko01100
K08232,128042,ko01100
K11121,129029,ko01100
K18153,129029,ko01100
K01242,129029,ko01100
K18152,129029,ko01100
K00324,129032,ko01100
K00325,129032,ko01100
K00322,129032,ko01100
K00858,129032,ko01100
K00323,129032,ko01100
K00940,128483,ko01100
K00873,128483,ko01100
K12406,128483,ko01100
K18533,128483,ko01100
K18533,128481,ko01100
K18532,128481,ko01100
K00939,128481,ko01100
K02318,129041,ko01100
K00859,129041,ko01100
K01430,129397,ko01100
K01428,129397,ko01100
K01429,129397,ko01100
K01427,129397,ko01100
K14048,129397,ko01100
K05299,129288,ko01100
K06211,129800,ko01100
K09210,129800,ko01100
K13522,129800,ko01100
K00969,129800,ko01100
K00952,129800,ko01100
K06210,129800,ko01100
K01948,128239,ko01100
K00926,128239,ko01100
K18533,128513,ko01100
K00940,128513,ko01100
K13799,128512,ko01100
K00945,128512,ko01100
K09903,128512,ko01100
K13809,128512,ko01100
K13800,128512,ko01100
K11753,129015,ko01100
K18453,129015,ko01100
K14656,129015,ko01100
K00953,129015,ko01100
K13248,129022,ko01100
K07758,129022,ko01100
K00868,129022,ko01100
K00789,128082,ko01100
K01611,128090,ko01100
K01762,129595,ko01100
K01490,129375,ko01100
K00856,128479,ko01100
K00893,128479,ko01100
K08723,128479,ko01100
K08693,128479,ko01100
K15519,128479,ko01100
K03787,128479,ko01100
K01081,128479,ko01100
K11751,128479,ko01100
K01916,129028,ko01100
K01950,129028,ko01100
K00759,128480,ko01100
K01251,128080,ko01100
K01243,128083,ko01100
K18284,128083,ko01100
K00101,128024,ko01100
K00016,128024,ko01100
K12406,127921,ko01100
K01006,127921,ko01100
K01007,127921,ko01100
K00873,127921,ko01100
K00940,127921,ko01100
K00873,128449,ko01100
K01006,128449,ko01100
K00158,128025,ko01100
K00172,127922,ko01100
K00627,127922,ko01100
K00170,127922,ko01100
K00169,127922,ko01100
K00656,127922,ko01100
K00171,127922,ko01100
K00162,127922,ko01100
K00382,127922,ko01100
K13997,127922,ko01100
K00161,127922,ko01100
K00163,127922,ko01100
K03737,127922,ko01100
K00029,128448,ko01100
K00029,128447,ko01100
K00028,128448,ko01100
K00028,128447,ko01100
K01572,128027,ko01100
K01573,128027,ko01100
K01960,128027,ko01100
K01571,128027,ko01100
K01958,128027,ko01100
K01959,128027,ko01100
K17989,128052,ko01100
K01754,128052,ko01100
K01752,128052,ko01100
K11258,128255,ko01100
K01652,128255,ko01100
K01653,128255,ko01100
K04072,128836,ko01100
K00132,128836,ko01100
K04021,128836,ko01100
K04073,128836,ko01100
K18366,128836,ko01100
K01905,129519,ko01100
K01895,129519,ko01100
K00625,129545,ko01100
K15024,129545,ko01100
K04020,129545,ko01100
K13788,129545,ko01100
K01578,128030,ko01100
K18292,129282,ko01100
K00626,128305,ko01100
K00931,128233,ko01100
K12657,128233,ko01100
K01425,128048,ko01100
K01425,129577,ko01100
K01915,128048,ko01100
K01915,129577,ko01100
K05597,128048,ko01100
K05597,129577,ko01100
K00814,129435,ko01100
K00814,128452,ko01100
K14260,129435,ko01100
K14260,128452,ko01100
K19244,129435,ko01100
K19244,128452,ko01100
K00827,129435,ko01100
K00827,128452,ko01100
K00830,129435,ko01100
K00830,128452,ko01100
K00259,129435,ko01100
K00259,128452,ko01100
K14272,129435,ko01100
K14272,128452,ko01100
K14682,128234,ko01100
K11067,128234,ko01100
K00620,128234,ko01100
K00618,128234,ko01100
K00619,128234,ko01100
K14681,128234,ko01100
K01776,128551,ko01100
K01580,128046,ko01100
K01846,129284,ko01100
K19268,129284,ko01100
K00030,129365,ko01100
K00031,129365,ko01100
K00031,127912,ko01100
K01655,128099,ko01100
K01655,128098,ko01100
K10977,128099,ko01100
K10977,128098,ko01100
K00275,129020,ko01100
K00275,129019,ko01100
K00012,127942,ko01100
K12447,127941,ko01100
K00965,127941,ko01100
K00963,127941,ko01100
K01784,127970,ko01100
K17716,127970,ko01100
K00115,129417,ko01100
K00117,129417,ko01100
K18124,129417,ko01100
K18125,129417,ko01100
K01772,129106,ko01100
K00925,128026,ko01100
K12406,128497,ko01100
K18533,128497,ko01100
K00873,128497,ko01100
K00940,128497,ko01100
K00942,128496,ko01100
K01610,128023,ko01100
K01610,129319,ko01100
K01595,128023,ko01100
K01595,129319,ko01100
K01596,128023,ko01100
K01596,129319,ko01100
K00026,129361,ko01100
K00026,128453,ko01100
K00116,129361,ko01100
K00116,128453,ko01100
K00024,129361,ko01100
K00024,128453,ko01100
K00025,129361,ko01100
K00025,128453,ko01100
K00051,129320,ko01100
K01595,128450,ko01100
K01595,128451,ko01100
K15230,127910,ko01100
K15230,127909,ko01100
K01648,127910,ko01100
K01648,127909,ko01100
K15231,127910,ko01100
K15231,127909,ko01100
K01647,127910,ko01100
K01647,127909,ko01100
K15234,129655,ko01100
K15234,129656,ko01100
K00812,129433,ko01100
K00812,129318,ko01100
K00812,129434,ko01100
K11358,129433,ko01100
K11358,129318,ko01100
K11358,129434,ko01100
K14455,129433,ko01100
K14455,129318,ko01100
K14455,129434,ko01100
K00811,129433,ko01100
K00811,129318,ko01100
K00811,129434,ko01100
K14454,129433,ko01100
K14454,129318,ko01100
K14454,129434,ko01100
K00813,129433,ko01100
K00813,129318,ko01100
K00813,129434,ko01100
K03334,128049,ko01100
K00278,128049,ko01100
K00827,128066,ko01100
K14272,128066,ko01100
K00830,128066,ko01100
K00273,128066,ko01100
K14159,128536,ko01100
K02337,128536,ko01100
K02342,128536,ko01100
K02320,128536,ko01100
K02335,128536,ko01100
K02350,128536,ko01100
K03508,128536,ko01100
K02322,128536,ko01100
K03763,128536,ko01100
K02685,128536,ko01100
K02684,128536,ko01100
K02333,128536,ko01100
K02323,128536,ko01100
K03506,128536,ko01100
K02326,128536,ko01100
K02325,128536,ko01100
K02345,128536,ko01100
K02321,128536,ko01100
K02332,128536,ko01100
K03504,128536,ko01100
K02344,128536,ko01100
K02328,128536,ko01100
K02319,128536,ko01100
K02338,128536,ko01100
K02339,128536,ko01100
K02341,128536,ko01100
K02327,128536,ko01100
K02324,128536,ko01100
K02340,128536,ko01100
K02343,128536,ko01100
K03505,128536,ko01100
K02343,128537,ko01100
K02684,128537,ko01100
K02325,128537,ko01100
K02345,128537,ko01100
K02341,128537,ko01100
K02327,128537,ko01100
K02342,128537,ko01100
K02344,128537,ko01100
K02685,128537,ko01100
