name,kegg,biocyc,smdb,other
"(<i>r,r</i>)-butanediol biosynthesis",,,,
"(<i>s,s</i>)-butanediol biosynthesis",,,,
"(r,r)-butanediol degradation",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY3O-246"" target='_blank'>BioCyc Link</a>",,
"(s,s)-butanediol degradation",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6388"" target='_blank'>BioCyc Link</a>",,
(s)-reticuline biosynthesis ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6133"" target='_blank'>BioCyc Link</a>",,
&alpha;-tocopherol degradation,,,,"<a href=""https://www.pathwaycommons.org/pc/record2.do?id=505898"" target='_blank'>Other Link</a>"
&beta;-alanine betaine biosynthesis,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-4021"" target='_blank'>Other Link</a>"
&beta;-alanine biosynthesis iii,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5155"" target='_blank'>Other Link</a>"
&beta;-alanine biosynthesis iv,,"<a href=""https://biocyc.org/META/NEW-IMAGE?object=Beta-Alanine-Biosynthesis"" target='_blank'>BioCyc Link</a>",,
&beta;-alanine degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?object=Beta-Alanine-Degradation"" target='_blank'>BioCyc Link</a>",,
&gamma;-linolenate biosynthesis ii (animals),,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6000"" target='_blank'>Other Link</a>"
<i>myo</i>-inositol biosynthesis,,,,
<i>n</i>-acetylglucosamine degradation i,,,,
<i>s</i>-adenosyl-l-methionine cycle,,"<a href=""https://biocyc.org/META/new-image?object=PWY-6151"" target='_blank'>BioCyc Link</a>",,
<i>s</i>-methyl-5-thio-&alpha;-d-ribose 1-phosphate degradation,,"<a href=""https://biocyc.org/META/new-image?object=PWY-4361"" target='_blank'>BioCyc Link</a>",,
<i>s</i>-methyl-5'-thioadenosine degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?object=Methylthioadenosine-Degradation"" target='_blank'>BioCyc Link</a>",,
<i>s</i>-methyl-5'-thioadenosine degradation ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6756"" target='_blank'>BioCyc Link</a>",,
"<i>trans, trans</i>-farnesyl diphosphate biosynthesis",,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5123"" target='_blank'>Other Link</a>"
1- and 2-methylnaphthalene degradation,,,,"<a href=""http://web.kuicr.kyoto-u.ac.jp/supp/kadowaki/FigureS1/map00624.html"" target='_blank'>Other Link</a>"
"1,2-dichloroethane degradation",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=12DICHLORETHDEG-PWY"" target='_blank'>BioCyc Link</a>",,
"1,25-dihydroxyvitamin d<sub>3</sub> biosynthesis",,,,
"1,4-dichlorobenzene degradation",,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=14DICHLORBENZDEG-PWY"" target='_blank'>Other Link</a>"
"1d-<i>myo</i>-inositol hexakisphosphate biosynthesis i  (from ins(1,4,5)p3)",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6361&detail-level=%203"" target='_blank'>BioCyc Link</a>",,
1d-<i>myo</i>-inositol hexakisphosphate biosynthesis ii (mammalian),,"<a href=""https://biocyc.org/META/new-image?object=PWY-6362"" target='_blank'>BioCyc Link</a>",,
"1d-<i>myo</i>-inositol hexakisphosphate biosynthesis v (from ins(1,3,4)p3)",,"<a href=""https://biocyc.org/META/new-image?object=PWY-6361"" target='_blank'>BioCyc Link</a>",,
2-<i>o</i>-&alpha;-mannosyl-d-glycerate degradation,,"<a href=""https://biocyc.org/META/new-image?object=PWY0-1300"" target='_blank'>BioCyc Link</a>",,
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-coa,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5652"" target='_blank'>BioCyc Link</a>",,
2-ketoglutarate dehydrogenase complex,,"<a href=""https://biocyc.org/META/new-image?object=CPLX66-42"" target='_blank'>BioCyc Link</a>",,
2-methylbutyrate biosynthesis,,,,
2-oxoglutarate decarboxylation to succinyl-coa,,"<a href=""https://biocyc.org/ECOLI/NEW-IMAGE?type=PATHWAY&object=PWY-5084"" target='_blank'>BioCyc Link</a>",,
2-oxoisovalerate decarboxylation to isobutanoyl-coa,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5046"" target='_blank'>BioCyc Link</a>",,
"2,4-dichlorobenzoate degradation",,,,"<a href=""https://gordonlab.wustl.edu/metaview/ippolito/CR2Signature/map-nolabel/map00623.html"" target='_blank'>Other Link</a>"
3-chloroacrylic acid degradation,,,,"<a href=""http://www.bi.up.ac.za/clotilde/RES_METABO/map00641_org.html"" target='_blank'>Other Link</a>"
3-dehydroquinate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6164"" target='_blank'>BioCyc Link</a>",,
3-oxo-10r-octadecatrienoate beta-oxidation,,,,"<a href=""http://metafishnet.appspot.com/humanpathway/103"" target='_blank'>Other Link</a>"
3-phosphoinositide biosynthesis,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-6352"" target='_blank'>BioCyc Link</a>",,
3-phosphoinositide degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6368"" target='_blank'>BioCyc Link</a>",,
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=NIL&object=PWY-7282"" target='_blank'>Other Link</a>"
4-aminobenzoate biosynthesis,,"<a href=""https://biocyc.org/META/new-image?object=PWY-6543"" target='_blank'>BioCyc Link</a>",,
4-aminobutyrate degradation,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-6535"" target='_blank'>BioCyc Link</a>",,
4-aminobutyrate degradation i,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-6535"" target='_blank'>BioCyc Link</a>",,
4-hydroxy-2-nonenal detoxification,,"<a href=""https://biocyc.org/HUMAN/new-image?type=PATHWAY&object=PWY-7112"" target='_blank'>BioCyc Link</a>",,
4-hydroxybenzoate biosynthesis,,,,
4-hydroxybenzoate biosynthesis i (eukaryotes),,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-5754"" target='_blank'>BioCyc Link</a>",,
4-hydroxybenzoate biosynthesis ii (bacteria and fungi),,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5755"" target='_blank'>Other Link</a>"
4-hydroxyphenylpyruvate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5886"" target='_blank'>BioCyc Link</a>",,
4-hydroxyproline degradation i,,,,
5-aminoimidazole ribonucleotide biosynthesis i,,"<a href=""https://biocyc.org/META/new-image?object=PWY-6121"" target='_blank'>BioCyc Link</a>",,
6-hydroxymethyl-dihydropterin diphosphate biosynthesis i,,,,"<a href=""http://mousecyc.jax.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6147&detail-level=2"" target='_blank'>Other Link</a>"
abc transporters,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?02010"" target=_new>KEGG</a>",,,
acetaldehyde biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6333"" target='_blank'>BioCyc Link</a>",,
acetate conversion to acetyl-coa,,"<a href=""https://biocyc.org/META/new-image?object=PWY0-1313"" target='_blank'>BioCyc Link</a>",,
acetate formation from acetyl-coa ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1312"" target='_blank'>BioCyc Link</a>",,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5535"" target='_blank'>Other Link</a>"
acetoin biosynthesis i,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target='_blank'>Other Link</a>"
acetoin biosynthesis iii,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target='_blank'>Other Link</a>"
acetone degradation i (to methylglyoxal),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5451"" target='_blank'>BioCyc Link</a>",,
acetyl-coa biosynthesis (from citrate),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5172"" target='_blank'>BioCyc Link</a>",,
acetyl-coa biosynthesis (from pyruvate),,,,
acetyl-coa biosynthesis iii (from citrate),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5172"" target='_blank'>BioCyc Link</a>",,
acyl carrier protein metabolism,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=NIL&object=PWY-6012"" target='_blank'>Other Link</a>"
acyl-coa hydrolysis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5148"" target='_blank'>BioCyc Link</a>",,
adenine and adenosine salvage i,,"<a href=""https://biocyc.org/META/new-image?object=P121-PWY"" target='_blank'>BioCyc Link</a>",,
adenine and adenosine salvage iii,,"<a href=""https://biocyc.org/META/new-image?object=PWY-6609"" target='_blank'>BioCyc Link</a>",,
adenine and adenosine salvage iv,,,,"<a href=""http://mousecyc.jax.org:1555/META/NEW-IMAGE?type=PATHWAY&object=PWY-6610"" target='_blank'>Other Link</a>"
adenine and adenosine salvage vi,,"<a href=""https://biocyc.org/META/new-image?object=PWY-6619"" target='_blank'>BioCyc Link</a>",,
adenosine nucleotides <i>de novo</i> biosynthesis,,"<a href=""https://biocyc.org/META/new-image?object=PWY-7219"" target='_blank'>BioCyc Link</a>",,
adenosine nucleotides degradation ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=SALVADEHYPOX-PWY"" target='_blank'>BioCyc Link</a>",,
aerobic respiration,,,,
aerobic respiration -- electron donor ii,,,,
aerobic respiration -- electron donors reaction list,,,,
aerobic respiration (linear view),,"<a href=""https://biocyc.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-188"" target='_blank'>BioCyc Link</a>",,
african trypanosomiasis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?05143"" target=_new>KEGG</a>",,,
alanine and aspartate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00250"" target=_new>KEGG</a>",,,"<a href=""https://www.wikipathways.org/index.php/Pathway:WP106"" target='_blank'>Other Link</a>"
alanine biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=ALANINE-VALINESYN-PWY"" target='_blank'>BioCyc Link</a>",,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=ALANINE-SYN2-PWY"" target='_blank'>Other Link</a>"
alanine biosynthesis ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=ALANINE-SYN2-PWY"" target='_blank'>BioCyc Link</a>",,
alanine biosynthesis iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1021"" target='_blank'>BioCyc Link</a>",,
alanine degradation iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=ALANINE-DEG3-PWY"" target='_blank'>BioCyc Link</a>",,
"alanine, aspartate and glutamate metabolism","<a href=""http://www.genome.jp/kegg-bin/show_pathway?00250"" target=_new>KEGG</a>",,,
alkaloid biosynthesis ii,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00960"" target=_new>KEGG</a>",,,"<a href=""http://www1.biologie.uni-hamburg.de/b-online/kegg/kegg/Classes/dblinks_java/map/map00960.html"" target='_blank'>Other Link</a>"
all-<i>trans</i>-decaprenyl diphosphate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5806"" target='_blank'>BioCyc Link</a>",,
allantoin degradation to ureidoglycolate i (urea producing),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5697"" target='_blank'>BioCyc Link</a>",,
allantoin degradation to ureidoglycolate ii (ammonia producing),,"<a href=""https://biocyc.org/login.html?redirect=https%3A%2F%2Fbiocyc.org%2FMETA%2Fnew-image%3Fobject%3DPWY-5698"" target='_blank'>BioCyc Link</a>",,
alpha-linolenic acid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00592"" target=_new>KEGG</a>",,,
amino sugar and nucleotide sugar metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00520"" target=_new>KEGG</a>",,,
aminoacyl-trna biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00970"" target=_new>KEGG</a>",,,
aminobenzoate degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00627"" target=_new>KEGG</a>",,,
aminosugars metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00520"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/106"" target='_blank'>Other Link</a>"
ammonia assimilation cycle i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6963"" target='_blank'>BioCyc Link</a>",,
anandamide degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY6666-1"" target='_blank'>BioCyc Link</a>",,
androgen and estrogen biosynthesis and metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/107"" target='_blank'>Other Link</a>"
androgen biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-378"" target='_blank'>BioCyc Link</a>",,
anthocyanin biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00942"" target=_new>KEGG</a>",,,
arachidonic acid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00590"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00004"""" target=_new>SMP</a>",
arginine and proline metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00330"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00006"""" target=_new>SMP</a>",
arginine biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00220"" target=_new>KEGG</a>",,,
arginine biosynthesis iv,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-7400"" target='_blank'>Other Link</a>"
arginine degradation i (arginase pathway),,"<a href=""https://biocyc.org/META/new-image?object=ARGASEDEG-PWY"" target='_blank'>BioCyc Link</a>",,
arginine degradation vi (arginase 2 pathway),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=ARG-PRO-PWY"" target='_blank'>BioCyc Link</a>",,
arginine degradation x (arginine monooxygenase pathway),,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=ARGDEG-V-PWY"" target='_blank'>Other Link</a>"
arsenate detoxification i (glutaredoxin),,"<a href=""https://biocyc.org/META/new-image?object=PWY-4202"" target='_blank'>BioCyc Link</a>",,
ascorbate (vitamin c) and aldarate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00053"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/110"" target='_blank'>Other Link</a>"
ascorbate and aldarate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00053"" target=_new>KEGG</a>",,,
ascorbate recycling (cytosolic),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6370"" target='_blank'>BioCyc Link</a>",,
asparagine biosynthesis,,,,"<a href=""https://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=ASPARAGINE-BIOSYNTHESIS"" target='_blank'>Other Link</a>"
asparagine biosynthesis i,,"<a href=""https://biocyc.org/META/new-image?object=ASPARAGINE-BIOSYNTHESIS"" target='_blank'>BioCyc Link</a>",,
asparagine biosynthesis iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY490-4"" target='_blank'>BioCyc Link</a>",,
asparagine degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=ASPARAGINE-DEG1-PWY"" target='_blank'>BioCyc Link</a>",,
asparagine degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=ASPARAGINE-DEG1-PWY"" target='_blank'>BioCyc Link</a>",,
asparaginyl-trna<sup>asn</sup> biosynthesis via transamidation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY490-4"" target='_blank'>BioCyc Link</a>",,
aspartate and asparagine metabolism,,,,"<a href=""http://metafishnet.appspot.com/humanpathway/111"" target='_blank'>Other Link</a>"
aspartate biosynthesis,,,,"<a href=""https://www.wikipathways.org/index.php/Pathway:WP1518"" target='_blank'>Other Link</a>"
aspartate degradation ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=MALATE-ASPARTATE-SHUTTLE-PWY"" target='_blank'>BioCyc Link</a>",,
atrazine degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00791"" target=_new>KEGG</a>",,,
bacterial secretion system,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03070"" target=_new>KEGG</a>",,,
basal transcription factors,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03022"" target=_new>KEGG</a>",,,
base excision repair,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03410"" target=_new>KEGG</a>",,,
benzoate degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00362"" target=_new>KEGG</a>",,,
benzoate degradation via coa ligation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00362"" target=_new>KEGG</a>",,,"<a href=""http://database.chgc.sh.cn/pathway/MAC/pathway/ko00632.html"" target='_blank'>Other Link</a>"
benzoate degradation via hydroxylation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00362"" target=_new>KEGG</a>",,,"<a href=""https://www.wikipathways.org/index.php/Pathway:WP1627"" target='_blank'>Other Link</a>"
beta-alanine biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-3981"" target='_blank'>BioCyc Link</a>",,
beta-alanine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00410"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00007"""" target=_new>SMP</a>",
beta-carboline biosynthesis,,,,
beta-lactam resistance,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?01501"" target=_new>KEGG</a>",,,
betanidin degradation,,,,
betaxanthin biosynthesis (via dopamine),,,,
bile acid biosynthesis,,,"<a href=""http://www.smpdb.ca/view/SMP00012"""" target=_new>SMP</a>","<a href=""http://metafishnet.appspot.com/pathway/115"" target='_blank'>Other Link</a>"
"bile acid biosynthesis, neutral pathway",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6061"" target='_blank'>BioCyc Link</a>",,
biopterin metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/116"" target='_blank'>Other Link</a>"
biosynthesis of siderophore group nonribosomal peptides,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?01053"" target=_new>KEGG</a>",,,
biosynthesis of unsaturated fatty acids,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?01040"" target=_new>KEGG</a>",,,
biotin biosynthesis from 7-keto-8-aminopelargonate,,,,
biotin metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00780"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00015"""" target=_new>SMP</a>",
