"gene_id","accession"
"24211","ENSRNOG00000030019"
"24215","ENSRNOG00000030269"
"24231","ENSRNOG00000000419"
"24233","ENSRNOG00000000443"
"24306","ENSRNOG00000009486"
"24468","ENSRNOG00000034066"
"25017","ENSRNOG00000022968"
"25133","ENSRNOG00000033719"
"25491","ENSRNOG00000018681"
"25517","ENSRNOG00000000715"
"25538","ENSRNOG00000019453"
"25545","ENSRNOG00000013548"
"25623","ENSRNOG00000012783"
"25646","ENSRNOG00000008756"
"25686","ENSRNOG00000005210"
"25711","ENSRNOG00000042076"
"28298","ENSRNOG00000010746"
"29182","ENSRNOG00000018557"
"29298","ENSRNOG00000013241"
"29326","ENSRNOG00000038455"
"29328","ENSRNOG00000013604"
"29349","ENSRNOG00000017524"
"29360","ENSRNOG00000015849"
"29583","ENSRNOG00000043391"
"29645","ENSRNOG00000034025"
"29669","ENSRNOG00000015824"
"50551","ENSRNOG00000001890"
"50556","ENSRNOG00000036601"
"50592","ENSRNOG00000002422"
"50663","ENSRNOG00000030871"
"50672","ENSRNOG00000010997"
"54246","ENSRNOG00000032805"
"54261","ENSRNOG00000029264"
"56785","ENSRNOG00000008008"
"56827","ENSRNOG00000029914"
"58819","ENSRNOG00000009088"
"58845","ENSRNOG00000026267"
"59105","ENSRNOG00000042524"
"64025","ENSRNOG00000004698"
"64317","ENSRNOG00000021809"
"64510","ENSRNOG00000008472"
"64630","ENSRNOG00000043246"
"65198","ENSRNOG00000003841"
"81517","ENSRNOG00000017560"
"81656","ENSRNOG00000017105"
"81666","ENSRNOG00000014183"
"81686","ENSRNOG00000016695"
"81771","ENSRNOG00000042411"
"83508","ENSRNOG00000031916"
"83579","ENSRNOG00000008926"
"84556","ENSRNOG00000011000"
"84576","ENSRNOG00000013695"
"84582","ENSRNOG00000008308"
"89810","ENSRNOG00000037261"
"113911","ENSRNOG00000015058"
"113922","ENSRNOG00000025661"
"114207","ENSRNOG00000020557"
"116478","ENSRNOG00000023176"
"116552","ENSRNOG00000007763"
"116691","ENSRNOG00000043381"
"116696","ENSRNOG00000043322"
"116779","ENSRNOG00000020119"
"117042","ENSRNOG00000025936"
"117183","ENSRNOG00000042960"
"117253","ENSRNOG00000005451"
"117517","ENSRNOG00000012516"
"117554","ENSRNOG00000017982"
"140675","ENSRNOG00000002336"
