"gene_id","accession"
"24152","NM_052979"
"24152","NP_443211"
"24153","NM_012488"
"24153","NP_036620"
"24157","NM_012489"
"24157","NP_036621"
"24158","NM_016986"
"24158","NP_058682"
"24159","NM_001111095"
"24159","NM_016987"
"24159","NP_001104565"
"24159","NP_058683"
"24161","NM_001135562"
"24161","NM_021262"
"24161","NP_001129034"
"24161","NP_067085"
"24162","NM_016988"
"24162","NP_058684"
"24163","NM_012490"
"24163","NP_036622"
"24165","NM_130399"
"24165","NP_569083"
"24166","NM_016989"
"24166","NP_058685"
"24167","NM_001270579"
"24167","NM_001270580"
"24167","NM_001270581"
"24167","NM_001270582"
"24167","NM_001270583"
"24167","NM_133511"
"24167","NP_001257508"
"24167","NP_001257509"
"24167","NP_001257510"
"24167","NP_001257511"
"24167","NP_001257512"
"24167","NP_598195"
"24170","NM_016990"
"24170","NP_058686"
"24171","NM_001109880"
"24171","NM_012491"
"24171","NP_001103350"
"24171","NP_036623"
"24172","NM_019286"
"24172","NP_062159"
"24173","NM_016991"
"24173","NP_058687"
"24174","NM_138505"
"24174","NP_612514"
"24175","NM_138506"
"24175","NP_612515"
"24176","NM_012492"
"24176","NP_036624"
"24177","NM_012493"
"24177","NP_036625"
"24179","NM_134432"
"24179","NP_602308"
"24180","NM_030985"
"24180","NP_112247"
"24182","NM_012494"
"24182","NP_036626"
"24183","NM_024349"
"24183","NP_077325"
"24184","NM_001033967"
"24184","NM_030986"
"24184","NP_001029139"
"24184","NP_112248"
"24185","NM_033230"
"24185","NP_150233"
"24186","NM_134326"
"24186","NP_599153"
"24188","NM_022407"
"24188","NP_071852"
"24189","NM_001177305"
"24189","NM_012495"
"24189","NP_001170776"
"24189","NP_036627"
"24190","NM_012496"
"24190","NP_036628"
"24191","NM_012497"
"24191","NP_036629"
"24192","NM_012498"
"24192","NP_036630"
"24197","NM_022665"
"24197","NP_073156"
"24203","NM_001010970"
"24203","NP_001010970"
"24205","NM_012499"
"24205","NP_036631"
"24206","NM_012500"
"24206","NP_036632"
"24207","NM_001271053"
"24207","NM_012501"
"24207","NP_001257982"
"24207","NP_036633"
"24208","NM_012502"
"24208","NP_036634"
"24209","NM_031503"
"24209","NP_113691"
"24210","NM_012503"
"24210","NP_036635"
"24211","NM_012504"
"24211","NP_036636"
"24212","NM_012505"
"24212","NP_036637"
"24213","NM_012506"
"24213","NP_036638"
"24214","NM_012507"
"24214","NP_036639"
"24215","NM_012508"
"24215","NP_036640"
"24216","NM_012509"
"24216","NP_036641"
"24217","NM_012510"
"24217","NP_036642"
"24218","NM_012511"
"24218","NP_036643"
"24221","NM_016992"
"24221","NP_058688"
"24223","NM_012512"
"24223","NP_036644"
"24224","NM_016993"
"24224","NP_058689"
"24225","NM_001270630"
"24225","NM_001270631"
"24225","NM_001270632"
"24225","NM_001270633"
"24225","NM_001270634"
"24225","NM_001270635"
"24225","NM_001270636"
"24225","NM_001270637"
"24225","NM_001270638"
"24225","NM_012513"
"24225","NP_001257559"
"24225","NP_001257560"
"24225","NP_001257561"
"24225","NP_001257562"
"24225","NP_001257563"
"24225","NP_001257564"
"24225","NP_001257565"
"24225","NP_001257566"
"24225","NP_001257567"
"24225","NP_036645"
"24230","NM_012515"
"24230","NP_036647"
"24231","NM_172222"
"24231","NP_757376"
"24232","NM_016994"
"24232","NP_058690"
"24233","NM_031504"
"24233","NP_113692"
"24235","NM_012516"
"24235","NP_036648"
"24236","NM_016995"
"24236","NP_058691"
"24237","NM_176074"
"24237","NP_788263"
"24239","NM_012517"
"24239","NP_036649"
"24240","NM_001105710"
"24240","NP_001099180"
"24241","NM_001033955"
"24241","NM_001033956"
"24241","NM_017338"
"24241","NP_001029127"
"24241","NP_001029128"
"24241","NP_059034"
"24242","NM_031969"
"24242","NP_114175"
"24244","NM_012518"
"24244","NP_036650"
"24245","NM_001042354"
"24245","NM_001042356"
"24245","NM_021739"
"24245","NP_001035813"
"24245","NP_001035815"
"24245","NP_068507"
"24246","NM_012519"
"24246","NP_036651"
