V1,V2,V3
11-beta-hydroxylase deficiency (CYP11B1),"Cortexolone; Deoxycorticosterone; Aldosterone; Cortisol; Cholesterol; NADP; NADPH; Pregnenolone; Tetrahydrocorticosterone; 18-Hydroxycorticosterone; 17a-Hydroxypregnenolone; 17-Hydroxyprogesterone; NAD; Tetrahydrocortisone; Tetrahydrocortisol; 4-Methylpentanal; Oxygen; NADH; Corticosterone; Progesterone; Water; Cortisone; Heme; Dihydrocortisol; 5a-Pregnane-3,20-dione; 21-Hydroxypregnenolone; 11-Dehydrocorticosterone; 21-Deoxycortisol; 11b-Hydroxyprogesterone; 22b-Hydroxycholesterol; 20alpha-Hydroxycholesterol; 3a,11b,21-Trihydroxy-20-oxo-5b-pregnan-18-al; 11b,21-Dihydroxy-3,20-oxo-5b-pregnan-18-al; 3a,21-Dihydroxy-5b-pregnane-11,20-dione; 21-Hydroxy-5b-pregnane-3,11,20-trione; 11b,21-Dihydroxy-5b-pregnane-3,20-dione; 17a,21-Dihydroxy-5b-pregnane-3,11,20-trione; 3a-Hydroxy-5b-pregnane-20-one; 11b,17a,21-Trihydroxypreg-nenolone; 17alpha,21-Dihydroxypregnenolone; 20a,22b-Dihydroxycholesterol; 17a,20a-Dihydroxycholesterol; Hydrogen Ion",http://www.smpdb.ca/view/SMP00575
17-alpha-hydroxylase deficiency (CYP17),"Cortexolone; Deoxycorticosterone; Aldosterone; Cortisol; Cholesterol; NADP; NADPH; Pregnenolone; Tetrahydrocorticosterone; 18-Hydroxycorticosterone; 17a-Hydroxypregnenolone; 17-Hydroxyprogesterone; NAD; Tetrahydrocortisone; Tetrahydrocortisol; 4-Methylpentanal; Oxygen; NADH; Corticosterone; Progesterone; Water; Cortisone; Heme; Dihydrocortisol; 5a-Pregnane-3,20-dione; 21-Hydroxypregnenolone; 11-Dehydrocorticosterone; 21-Deoxycortisol; 11b-Hydroxyprogesterone; 22b-Hydroxycholesterol; 20alpha-Hydroxycholesterol; 3a,11b,21-Trihydroxy-20-oxo-5b-pregnan-18-al; 11b,21-Dihydroxy-3,20-oxo-5b-pregnan-18-al; 3a,21-Dihydroxy-5b-pregnane-11,20-dione; 21-Hydroxy-5b-pregnane-3,11,20-trione; 11b,21-Dihydroxy-5b-pregnane-3,20-dione; 17a,21-Dihydroxy-5b-pregnane-3,11,20-trione; 3a-Hydroxy-5b-pregnane-20-one; 11b,17a,21-Trihydroxypreg-nenolone; 17alpha,21-Dihydroxypregnenolone; 20a,22b-Dihydroxycholesterol; 17a,20a-Dihydroxycholesterol; Hydrogen Ion",http://www.smpdb.ca/view/SMP00566
2-aminoadipic 2-oxoadipic aciduria,"L-Glutamic acid; L-Lysine; Oxoglutaric acid; NADP; NADPH; Oxoadipic acid; Saccharopine; Aminoadipic acid; L-Pipecolic acid; NAD; Lipoamide; 3-Hydroxybutyryl-CoA; Acetyl-CoA; FAD; Allysine; Glutaryl-CoA; Thiamine pyrophosphate; Oxygen; Coenzyme A; Acetoacetyl-CoA; NADH; Pyridoxal 5'-phosphate; Carbon dioxide; Crotonoyl-CoA; Water; Hydrogen peroxide; D-Lysine; (S)-2,3,4,5-Tetrahydropiperidine-2-carboxylate",http://www.smpdb.ca/view/SMP00719
2-ketoglutarate dehydrogenase complex deficiency,Biotin; cis-Aconitic acid; Citric acid; Fumaric acid; L-Malic acid; Isocitric acid; Oxoglutaric acid; Oxalacetic acid; Pyruvic acid; Succinic acid; Adenosine triphosphate; Magnesium; Hydrogen carbonate; NAD; Lipoamide; Succinyl-CoA; Coenzyme Q10; FADH; Guanosine diphosphate; Acetyl-CoA; FAD; Guanosine triphosphate; Manganese; ADP; Thiamine pyrophosphate; Coenzyme A; Phosphate; NADH; Carbon dioxide; Water; Hydrogen Ion; QH(2),http://www.smpdb.ca/view/SMP00549
21-hydroxylase deficiency (CYP21),"Cortexolone; Deoxycorticosterone; Aldosterone; Cortisol; Cholesterol; NADP; NADPH; Pregnenolone; Tetrahydrocorticosterone; 18-Hydroxycorticosterone; 17a-Hydroxypregnenolone; 17-Hydroxyprogesterone; NAD; Tetrahydrocortisone; Tetrahydrocortisol; 4-Methylpentanal; Oxygen; NADH; Corticosterone; Progesterone; Water; Cortisone; Heme; Dihydrocortisol; 5a-Pregnane-3,20-dione; 21-Hydroxypregnenolone; 11-Dehydrocorticosterone; 21-Deoxycortisol; 11b-Hydroxyprogesterone; 22b-Hydroxycholesterol; 20alpha-Hydroxycholesterol; 3a,11b,21-Trihydroxy-20-oxo-5b-pregnan-18-al; 11b,21-Dihydroxy-3,20-oxo-5b-pregnan-18-al; 3a,21-Dihydroxy-5b-pregnane-11,20-dione; 21-Hydroxy-5b-pregnane-3,11,20-trione; 11b,21-Dihydroxy-5b-pregnane-3,20-dione; 17a,21-Dihydroxy-5b-pregnane-3,11,20-trione; 3a-Hydroxy-5b-pregnane-20-one; 11b,17a,21-Trihydroxypreg-nenolone; 17alpha,21-Dihydroxypregnenolone; 20a,22b-Dihydroxycholesterol; 17a,20a-Dihydroxycholesterol; Hydrogen Ion",http://www.smpdb.ca/view/SMP00576
27-Hydroxylase Deficiency,"Taurocholic acid; Cholesterol; Glycine; Glycocholic acid; NADP; Palmitic acid; NADPH; Pyrophosphate; Taurine; 3a,7a-Dihydroxycoprostanic acid; Chenodeoxycholic acid; Adenosine triphosphate; Cholic acid; Deoxycholic acid; Deoxycholic acid glycine conjugate; Chenodeoxycholic acid glycine conjugate; Lithocholic acid glycine conjugate; Lithocholyltaurine; Lithocholic acid; Taurodeoxycholic acid; NAD; Taurochenodesoxycholic acid; 27-Deoxy-5b-cyprinol; FAD; Propionyl-CoA; ADP; Choloyl-CoA; Oxygen; 24-Hydroxycholesterol; Coenzyme A; 5-b-Cholestane-3a ,7a ,12a-triol; NADH; 7a-Hydroxycholesterol; 7a-Hydroxy-cholestene-3-one; 27-Hydroxycholesterol; Water; 3a,7a-Dihydroxy-5b-cholestanoyl-CoA; 7a,12a-Dihydroxy-cholestene-3-one; Heme; 3a,7a,12a-Trihydroxy-5b-cholestan-26-al; 3'-AMP; 3a,7a,12a-Trihydroxy-5b-cholestanoic acid; 25-Hydroxycholesterol; 7-a,25-Dihydroxycholesterol; 7-a,27-Dihydroxycholesterol; Chenodeoxycholoyl-CoA; CE(22:2(13Z,16Z)); 7a,12a-Dihydroxy-5b-cholestan-3-one; 5b-Cyprinol sulfate; 3a,7a,12a-Trihydroxy-5b-cholest-24-enoyl-CoA; 3a,7a,12a,24-Tetrahydroxy-5b-cholestanoyl-CoA; 3a,7a,12a-Trihydroxy-5b-24-oxocholestanoyl-CoA; 7a-Hydroxy-5b-cholestan-3-one; 3a,7a-Dihydroxy-5b-cholestane; 3a,7a-Dihydroxy-5b-cholestan-26-al; 3a,7a-Dihydroxy-5b-cholest-24-enoyl-CoA; (24R)-Cholest-5-ene-3-beta,7-alpha,24-triol  ; 3 beta-Hydroxy-5-cholestenoate; 3beta,7alpha-Dihydroxy-5-cholestenoate; 3 alpha,7 alpha,26-Trihydroxy-5beta-cholestane; 3 alpha,7 alpha,24-Trihydroxy-5beta-cholestanoyl-CoA; 7alpha-Hydroxy-3-oxo-4-cholestenoate; 7 alpha,26-Dihydroxy-4-cholesten-3-one; Iron",http://www.smpdb.ca/view/SMP00720
3-Beta-Hydroxysteroid Dehydrogenase Deficiency,"Cortexolone; Deoxycorticosterone; Aldosterone; Cortisol; Cholesterol; NADP; NADPH; Pregnenolone; Tetrahydrocorticosterone; 18-Hydroxycorticosterone; 17a-Hydroxypregnenolone; 17-Hydroxyprogesterone; NAD; Tetrahydrocortisone; Tetrahydrocortisol; 4-Methylpentanal; Oxygen; NADH; Corticosterone; Progesterone; Water; Cortisone; Heme; Dihydrocortisol; 5a-Pregnane-3,20-dione; 21-Hydroxypregnenolone; 11-Dehydrocorticosterone; 21-Deoxycortisol; 11b-Hydroxyprogesterone; 22b-Hydroxycholesterol; 20alpha-Hydroxycholesterol; 3a,11b,21-Trihydroxy-20-oxo-5b-pregnan-18-al; 11b,21-Dihydroxy-3,20-oxo-5b-pregnan-18-al; 3a,21-Dihydroxy-5b-pregnane-11,20-dione; 21-Hydroxy-5b-pregnane-3,11,20-trione; 11b,21-Dihydroxy-5b-pregnane-3,20-dione; 17a,21-Dihydroxy-5b-pregnane-3,11,20-trione; 3a-Hydroxy-5b-pregnane-20-one; 11b,17a,21-Trihydroxypreg-nenolone; 17alpha,21-Dihydroxypregnenolone; 20a,22b-Dihydroxycholesterol; 17a,20a-Dihydroxycholesterol; Hydrogen Ion",http://www.smpdb.ca/view/SMP00718
3-hydroxyisobutyric acid dehydrogenase deficiency,Alpha-ketoisovaleric acid; (S)-3-Hydroxyisobutyric acid; Biotin; Acetoacetic acid; L-Glutamic acid; L-Isoleucine; Methylmalonic acid; Oxoglutaric acid; Succinic acid; 3-Methyl-2-oxovaleric acid; Adenosine triphosphate; Hydrogen carbonate; L-Leucine; Ketoleucine; L-Valine; NAD; Lipoamide; Dihydrolipoamide; Methacrylyl-CoA; Succinyl-CoA; 2-Methylbutyryl-CoA; (S)-3-Hydroxyisobutyryl-CoA; 3-Methylglutaconyl-CoA; Isovaleryl-CoA; 2-Methylacetoacetyl-CoA; Acetyl-CoA; Isobutyryl-CoA; FAD; Propionyl-CoA; ADP; 2-Methyl-3-hydroxybutyryl-CoA; Thiamine pyrophosphate; 3-Hydroxy-3-methylglutaryl-CoA; Oxygen; Coenzyme A; Phosphate; Acetoacetyl-CoA; NADH; Pyridoxal 5'-phosphate; 3-Methylcrotonyl-CoA; Pyridoxal; Carbon dioxide; Tiglyl-CoA; Adenosylcobalamin; Water; (S)-b-aminoisobutyric acid; Molybdopterin; (S)-Methylmalonic acid semialdehyde; R-Methylmalonyl-CoA; S-Methylmalonyl-CoA; Hydrogen peroxide; 3-Methyl-1-hydroxybutyl-ThPP; 2-Methyl-1-hydroxypropyl-ThPP; S-(3-Methylbutanoyl)-dihydrolipoamide-E; S-(2-Methylpropionyl)-dihydrolipoamide-E; S-(2-Methylbutanoyl)-dihydrolipoamide; 3-Hydroxyisovaleryl-CoA; Lipoyl-GMP; Hydrogen Ion,http://www.smpdb.ca/view/SMP00521
3-hydroxyisobutyric aciduria,Alpha-ketoisovaleric acid; (S)-3-Hydroxyisobutyric acid; Biotin; Acetoacetic acid; L-Glutamic acid; L-Isoleucine; Methylmalonic acid; Oxoglutaric acid; Succinic acid; 3-Methyl-2-oxovaleric acid; Adenosine triphosphate; Hydrogen carbonate; L-Leucine; Ketoleucine; L-Valine; NAD; Lipoamide; Dihydrolipoamide; Methacrylyl-CoA; Succinyl-CoA; 2-Methylbutyryl-CoA; (S)-3-Hydroxyisobutyryl-CoA; 3-Methylglutaconyl-CoA; Isovaleryl-CoA; 2-Methylacetoacetyl-CoA; Acetyl-CoA; Isobutyryl-CoA; FAD; Propionyl-CoA; ADP; 2-Methyl-3-hydroxybutyryl-CoA; Thiamine pyrophosphate; 3-Hydroxy-3-methylglutaryl-CoA; Oxygen; Coenzyme A; Phosphate; Acetoacetyl-CoA; NADH; Pyridoxal 5'-phosphate; 3-Methylcrotonyl-CoA; Pyridoxal; Carbon dioxide; Tiglyl-CoA; Adenosylcobalamin; Water; (S)-b-aminoisobutyric acid; Molybdopterin; (S)-Methylmalonic acid semialdehyde; R-Methylmalonyl-CoA; S-Methylmalonyl-CoA; Hydrogen peroxide; 3-Methyl-1-hydroxybutyl-ThPP; 2-Methyl-1-hydroxypropyl-ThPP; S-(3-Methylbutanoyl)-dihydrolipoamide-E; S-(2-Methylpropionyl)-dihydrolipoamide-E; S-(2-Methylbutanoyl)-dihydrolipoamide; 3-Hydroxyisovaleryl-CoA; Lipoyl-GMP; Hydrogen Ion,http://www.smpdb.ca/view/SMP00522
3-Methylthiofentanyl Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; 3-Methylthiofentanyl,http://www.smpdb.ca/view/SMP00679
