"gene_id","symbol","name","kegg"
"24152","Asip","agouti signaling protein","04916"
"24153","A2m","alpha-2-macroglobulin","04610"
"24157","Acaa1a","acetyl-Coenzyme A acyltransferase 1A","00071; 00280; 01040; 01100; 03320; 04146"
"24158","Acadm","acyl-CoA dehydrogenase, C-4 to C-12 straight chain","00071; 00280; 00410; 00640; 01100; 03320"
"24159","Acly","ATP citrate lyase","00020; 01100"
"24161","Acp1","acid phosphatase 1, soluble","00740; 04520"
"24162","Acp2","acid phosphatase 2, lysosomal","00740; 04142"
"24163","Acr","acrosin","NA"
"24165","Ada","adenosine deaminase","00230; 01100; 05340"
"24166","Adcyap1","adenylate cyclase activating polypeptide 1","NA"
"24167","Adcyap1r1","adenylate cyclase activating polypeptide 1 receptor 1","04080"
"24170","Add1","adducin 1 (alpha)","NA"
"24171","Add2","adducin 2 (beta)","NA"
"24172","Adh1","alcohol dehydrogenase 1 (class I)","00010; 00071; 00350; 00830; 00980; 00982; 01100"
"24173","Adra1b","adrenergic, alpha-1B-, receptor","04020; 04080; 04270; 04970"
"24174","Adra2b","adrenergic, alpha-2B-, receptor","04080"
"24175","Adra2c","adrenergic, alpha-2C-, receptor","04080"
"24176","Adrb2","adrenergic, beta-2-, receptor, surface","04020; 04080; 04144; 04970"
"24177","Afp","alpha-fetoprotein","NA"
"24179","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","04614"
"24180","Agtr1a","angiotensin II receptor, type 1a","04020; 04080; 04270; 04614"
"24182","Agtr2","angiotensin II receptor, type 2","04080; 04614"
"24183","Ak1","adenylate kinase 1","00230; 01100"
"24184","Ak2","adenylate kinase 2","00230; 01100"
"24185","Akt1","v-akt murine thymoma viral oncogene homolog 1","04010; 04012; 04062; 04150; 04210; 04370; 04380; 04510; 04530; 04620; 04630; 04660; 04662; 04664; 04666; 04722; 04910; 04914; 04920; 04973; 05142; 05145; 05160; 05200; 05210; 05211; 05212; 05213; 05214; 05215; 05218; 05220; 05221; 05222; 05223"
"24186","Alb","albumin","NA"
"24188","Aldh1a1","aldehyde dehydrogenase 1 family, member A1","00010; 00040; 00053; 00071; 00280; 00310; 00330; 00340; 00380; 00410; 00561; 00620; 00640; 01100"
"24189","Aldoa","aldolase A, fructose-bisphosphate","00010; 00030; 00051; 01100"
"24190","Aldob","aldolase B, fructose-bisphosphate","00010; 00030; 00051; 01100"
"24191","Aldoc","aldolase C, fructose-bisphosphate","00010; 00030; 00051; 01100"
"24192","Akr1b1","aldo-keto reductase family 1, member B1 (aldose reductase)","00040; 00051; 00052; 00561; 00620; 01100"
