"gene_id","symbol","name","kegg"
"11287","Pzp","pregnancy zone protein","NA"
"11298","Aanat","arylalkylamine N-acetyltransferase","00380; 01100"
"11302","Aatk","apoptosis-associated tyrosine kinase","NA"
"11303","Abca1","ATP-binding cassette, sub-family A (ABC1), member 1","02010; 04975"
"11304","Abca4","ATP-binding cassette, sub-family A (ABC1), member 4","02010"
"11305","Abca2","ATP-binding cassette, sub-family A (ABC1), member 2","02010; 04142"
"11306","Abcb7","ATP-binding cassette, sub-family B (MDR/TAP), member 7","02010"
"11307","Abcg1","ATP-binding cassette, sub-family G (WHITE), member 1","02010"
"11308","Abi1","abl-interactor 1","NA"
"11350","Abl1","c-abl oncogene 1, non-receptor tyrosine kinase","04012; 04110; 04360; 04722; 05200; 05220; 05416"
"11352","Abl2","v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)","04012; 05416"
"11354","Abpa","androgen binding protein alpha","NA"
"11358","ac","absent corpus callosum","NA"
"11363","Acadl","acyl-Coenzyme A dehydrogenase, long-chain","00071; 01100; 03320"
"11364","Acadm","acyl-Coenzyme A dehydrogenase, medium chain","00071; 00280; 00410; 00640; 01100; 03320"
"11370","Acadvl","acyl-Coenzyme A dehydrogenase, very long chain","00071; 01100"
"11409","Acads","acyl-Coenzyme A dehydrogenase, short chain","00071; 00280; 00650; 01100"
"11416","Slc33a1","solute carrier family 33 (acetyl-CoA transporter), member 1","00604; 01100"
"11418","Accn1","amiloride-sensitive cation channel 1, neuronal (degenerin)","04742"
"11419","Accn2","amiloride-sensitive cation channel 2, neuronal","NA"
"11421","Ace","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1","04614; 05142; 05410"
"11423","Ache","acetylcholinesterase","00564"
"11425","Apoc4","apolipoprotein C-IV","NA"
"11426","Macf1","microtubule-actin crosslinking factor 1","NA"
"11428","Aco1","aconitase 1","00020; 00630; 01100"
"11429","Aco2","aconitase 2, mitochondrial","00020; 00630; 01100"
"11430","Acox1","acyl-Coenzyme A oxidase 1, palmitoyl","00071; 00592; 01040; 01100; 03320; 04146"
"11431","Acp1","acid phosphatase 1, soluble","00740; 04520"
"11432","Acp2","acid phosphatase 2, lysosomal","00740; 04142"
"11433","Acp5","acid phosphatase 5, tartrate resistant","00740; 04142; 04380; 05323"
"11434","Acr","acrosin prepropeptide","NA"
"11435","Chrna1","cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)","04080"
"11438","Chrna4","cholinergic receptor, nicotinic, alpha polypeptide 4","04080"
"11440","Chrna6","cholinergic receptor, nicotinic, alpha polypeptide 6","04080"
"11441","Chrna7","cholinergic receptor, nicotinic, alpha polypeptide 7","04020; 04080"
"11443","Chrnb1","cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)","04080"
"11444","Chrnb2","cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)","04080"
"11447","Chrnd","cholinergic receptor, nicotinic, delta polypeptide","04080"
"11448","Chrne","cholinergic receptor, nicotinic, epsilon polypeptide","04080"
"11449","Chrng","cholinergic receptor, nicotinic, gamma polypeptide","04080"
"11450","Adipoq","adiponectin, C1Q and collagen domain containing","03320; 04920; 04930"
"11451","Acrv1","acrosomal vesicle protein 1","NA"
"11452","act","adult cataract","NA"
"11459","Acta1","actin, alpha 1, skeletal muscle","NA"
"11461","Actb","actin, beta","04145; 04510; 04520; 04530; 04670; 04810; 04971; 05100; 05410; 05412; 05414; 05416"
